"placeA_FIPS","placeB_FIPS","BtoA","AtoB"
"49049","56","306","214"
"49049","54","19","0"
"49049","42","210","418"
"49049","ISL000","14","0"
"49049","50","16","40"
"49049","NAM000","545","0"
"49049","53","1450","1009"
"49049","CAR000","65","0"
"49049","24","217","161"
"49049","25","184","94"
"49049","26","251","242"
"49049","27","212","197"
"49049","20","115","36"
"49049","21","90","148"
"49049","22","96","71"
"49049","23","36","52"
"49049","46","14","55"
"49049","47","380","314"
"49049","44","17","6"
"49049","45","120","42"
"49049","28","96","0"
"49049","29","420","214"
"49049","40","170","209"
"49049","41","696","751"
"49049","1","116","458"
"49049","SAM000","1293","0"
"49049","2","505","118"
"49049","5","210","66"
"49049","4","2033","1746"
"49049","6","4633","2794"
"49049","9","42","37"
"49049","8","995","756"
"49049","51","799","856"
"49049","OCE000","477","0"
"49049","EUR000","1204","0"
"49049","CAM000","703","0"
"49049","49055","0","11"
"49049","49057","272","265"
"49049","49051","457","91"
"49049","39","545","233"
"49049","49053","1395","941"
"49049","38","24","29"
"49049","72","24","0"
"49049","AFR000","267","0"
"49049","11","51","22"
"49049","10","0","3"
"49049","13","426","221"
"49049","12","409","211"
"49049","15","446","401"
"49049","48","1466","1350"
"49049","17","548","169"
"49049","16","2036","1224"
"49049","19","557","185"
"49049","18","276","163"
"49049","31","83","201"
"49049","30","456","425"
"49049","37","161","263"
"49049","36","358","289"
"49049","35","258","402"
"49049","34","25","77"
"49049","33","31","53"
"49049","55","277","197"
"49049","32","746","847"
"49049","ASI000","1039","0"
"49047","56","62","137"
"49047","49049","100","268"
"49047","NAM000","19","0"
"49047","53","18","17"
"49047","EUR000","7","0"
"49047","27","13","0"
"49047","20","0","4"
"49047","22","33","8"
"49047","23","0","7"
"49047","42","0","57"
"49047","29","0","25"
"49047","40","0","37"
"49047","41","178","244"
"49047","2","54","0"
"49047","4","3","174"
"49047","6","116","42"
"49047","8","139","211"
"49047","OCE000","20","0"
"49047","49057","62","30"
"49047","49051","5","4"
"49047","49053","13","94"
"49047","38","0","63"
"49047","48","27","231"
"49047","17","4","0"
"49047","16","44","0"
"49047","19","0","18"
"49047","32","68","46"
"49047","30","60","4"
"49047","51","41","0"
"49047","35","29","70"
"49045","56","197","99"
"49045","49049","131","187"
"49045","42","28","0"
"49045","NAM000","9","0"
"49045","53","39","60"
"49045","24","2","0"
"49045","CAM000","35","0"
"49045","26","4","13"
"49045","EUR000","4","0"
"49045","22","16","85"
"49045","23","1","39"
"49045","47","1","0"
"49045","45","0","47"
"49045","28","14","0"
"49045","29","26","33"
"49045","40","2","102"
"49045","41","97","77"
"49045","1","2","0"
"49045","2","24","112"
"49045","5","25","41"
"49045","4","247","101"
"49045","6","137","85"
"49045","9","46","0"
"49045","8","100","138"
"49045","OCE000","17","0"
