"placeA_FIPS","placeB_FIPS","BtoA","AtoB"
"20179","20193","26","16"
"20179","46","0","42"
"20179","20209","3","0"
"20179","31","3","0"
"20179","20199","0","10"
"20179","40","0","33"
"20179","47","36","0"
"20179","5","0","19"
"20179","6","13","0"
"20177","30","8","12"
"20177","54","8","9"
"20177","28","0","14"
"20177","48","279","483"
"20177","22","31","0"
"20177","45","0","26"
"20177","NAM000","9","0"
"20177","26","86","6"
"20177","53","146","24"
"20177","34","33","2"
"20177","OCE000","9","0"
"20177","24","6","0"
"20177","CAM000","24","0"
"20177","20197","25","57"
"20177","27","50","57"
"20177","20191","17","1"
"20177","20193","25","0"
"20177","49","8","0"
"20177","46","6","25"
"20177","47","17","445"
"20177","42","20","47"
"20177","20199","12","0"
"20177","29","524","423"
"20177","40","493","319"
"20177","41","57","70"
"20177","1","99","0"
"20177","SAM000","17","0"
"20177","2","43","31"
"20177","5","321","167"
"20177","4","11","95"
"20177","6","362","177"
"20177","9","60","41"
"20177","8","148","151"
"20177","51","56","37"
"20177","20205","0","5"
"20177","56","21","25"
"20177","EUR000","55","0"
"20177","39","122","0"
"20177","20207","31","3"
"20177","20185","13","2"
"20177","72","39","0"
"20177","AFR000","82","0"
"20177","20201","0","14"
"20177","11","0","6"
"20177","10","57","0"
"20177","13","67","0"
"20177","12","99","219"
"20177","15","35","19"
"20177","20183","0","1"
"20177","17","100","121"
"20177","16","24","0"
"20177","19","45","144"
"20177","18","113","52"
"20177","31","91","96"
"20177","20181","4","0"
"20177","20209","201","341"
"20177","36","139","19"
"20177","35","58","14"
"20177","20189","0","37"
"20177","55","0","29"
"20177","37","5","6"
"20177","32","21","184"
"20177","ASI000","177","0"
"20175","20179","0","2"
"20175","20177","9","10"
"20175","28","77","0"
"20175","CAM000","7","0"
"20175","26","38","13"
"20175","27","75","0"
"20175","20193","0","24"
"20175","23","1","28"
"20175","47","109","0"
"20175","42","0","10"
"20175","40","238","177"
"20175","4","2","0"
"20175","6","41","0"
"20175","AFR000","9","0"
"20175","EUR000","4","0"
"20175","ASI000","12","0"
"20175","8","206","66"
"20175","20187","0","38"
"20175","12","66","0"
"20175","48","178","187"
"20175","19","0","3"
"20175","18","79","13"
"20175","37","27","0"
"20175","20189","20","56"
"20173","45","39","113"
"20173","20179","5","0"
"20173","54","13","0"
"20173","20177","327","477"
"20173","37","239","347"
"20173","20175","20","88"
"20173","NAM000","26","0"
"20173","26","168","141"
"20173","53","312","415"
"20173","CAR000","38","0"
"20173","24","116","277"
"20173","25","59","10"
"20173","20197","0","4"
"20173","27","116","49"
"20173","20191","595","1184"
"20173","21","133","17"
"20173","20193","37","97"
"20173","49","0","64"
