"placeA_FIPS","placeB_FIPS","BtoA","AtoB"
"40001","5007","53","160"
"40001","5029","3","0"
"40001","5125","0","33"
"40001","5131","0","12"
"40001","5143","29","135"
"40001","12095","16","0"
"40001","20021","0","54"
"40001","20177","0","8"
"40001","29021","0","8"
"40001","29095","0","5"
"40001","29119","19","0"
"40001","29197","0","3"
"40001","29213","11","0"
"40001","31055","0","16"
"40001","31153","15","0"
"40001","35013","14","0"
"40001","36081","5","0"
"40001","37019","11","0"
"40001","37125","7","0"
"40001","40003","0","5"
"40001","40015","0","11"
"40001","40017","41","0"
"40001","40019","0","33"
"40001","40021","31","119"
"40001","40027","6","2"
"40001","40031","0","58"
"40001","40035","0","12"
"40001","40037","0","12"
"40001","40041","30","110"
"40001","40051","0","27"
"40001","40079","0","20"
"40001","40091","0","13"
"40001","40097","0","33"
"40001","40101","0","23"
"40001","40105","0","37"
"40001","40109","8","59"
"40001","40119","0","28"
"40001","40121","19","14"
"40001","40123","0","8"
"40001","40125","0","6"
"40001","40131","0","134"
"40001","40135","4","68"
"40001","40137","0","243"
"40001","40143","134","142"
"40001","40145","0","10"
"40001","40147","0","9"
"40001","42063","0","27"
"40001","42117","0","4"
"40001","48113","9","0"
"40001","48201","0","25"
"40001","48231","25","0"
"40001","48321","0","9"
"40001","55129","15","0"
"40001","EUR000","10",""
"40001","OCE000","6",""
"40003","2110","7","0"
"40003","4013","10","0"
"40003","5141","2","0"
"40003","13185","14","0"
"40003","19007","2","0"
"40003","20007","7","0"
"40003","20035","0","18"
"40003","20079","2","0"
"40003","20099","0","11"
"40003","20167","1","0"
"40003","20173","2","0"
"40003","29097","19","0"
"40003","31153","12","0"
"40003","32003","2","0"
"40003","35041","12","0"
"40003","39027","51","0"
"40003","40005","4","23"
"40003","40011","0","19"
"40003","40013","5","0"
"40003","40015","0","7"
"40003","40017","14","0"
"40003","40019","14","8"
"40003","40027","15","5"
"40003","40031","48","3"
"40003","40035","0","6"
"40003","40037","0","2"
"40003","40039","4","8"
"40003","40047","59","136"
"40003","40051","11","0"
"40003","40053","18","10"
"40003","40063","25","10"
"40003","40079","0","16"
"40003","40081","10","0"
"40003","40085","5","0"
"40003","40089","0","1"
"40003","40093","27","1"
"40003","40097","0","5"
"40003","40101","9","0"
"40003","40103","10","0"
"40003","40107","0","22"
"40003","40109","80","33"
"40003","40113","37","0"
"40003","40119","4","5"
"40003","40121","3","0"
"40003","40125","20","0"
"40003","40139","0","13"
"40003","40143","25","0"
"40003","40151","23","118"
"40003","40153","1","8"
"40003","48085","6","0"
"40003","48201","4","0"
"40003","48225","0","5"
"40003","48251","21","0"
"40003","48291","5","0"
"40003","48355","0","33"
"40003","51550","4","0"
"40005","4019","3","0"
"40005","5061","12","0"
"40005","6065","2","0"
"40005","8003","1","0"
"40005","8041","3","0"
"40005","12063","9","0"
"40005","12071","8","0"
"40005","13039","2","0"
"40005","17003","11","0"
"40005","20173","13","0"
"40005","20175","2","0"
"40005","24510","18","0"
"40005","26055","5","0"
"40005","29095","3","0"
"40005","39161","5","0"
"40005","40009","0","14"
"40005","40011","0","23"
"40005","40013","147","215"
"40005","40015","12","7"
"40005","40017","5","0"
"40005","40019","10","3"
"40005","40021","0","13"
"40005","40023","35","20"
"40005","40027","102","51"
"40005","40029","7","23"
"40005","40031","78","52"
"40005","40033","0","22"
"40005","40035","12","0"
"40005","40037","5","22"
"40005","40039","0","12"
"40005","40049","6","0"
"40005","40051","3","0"
"40005","40055","47","40"
"40005","40063","15","40"
"40005","40065","0","2"
"40005","40067","5","6"
"40005","40069","25","7"
"40005","40071","7","16"
"40005","40077","1","4"
"40005","40079","12","16"
"40005","40081","0","28"
"40005","40089","4","7"
"40005","40091","5","17"
"40005","40095","6","0"
"40005","40097","26","0"
"40005","40099","0","2"
"40005","40101","4","12"
"40005","40105","14","0"
"40005","40109","85","117"
"40005","40111","45","0"
"40005","40113","25","21"
"40005","40119","10","11"
"40005","40121","51","20"
"40005","40123","15","0"
"40005","40125","4","24"
"40005","40127","24","19"
"40005","40131","8","0"
"40005","40137","0","12"
"40005","40141","11","7"
"40005","40143","133","8"
"40005","40147","8","0"
"40005","40151","4","0"
"40005","40153","9","6"
"40005","45051","13","0"
"40005","48085","6","0"
"40005","48097","7","0"
"40005","48113","10","0"
"40005","48121","29","41"
"40005","48135","4","0"
"40005","48181","74","7"
"40005","48249","1","0"
"40005","48277","2","0"
"40005","48401","14","0"
"40005","48485","5","0"
"40005","49035","27","0"
"40005","55129","8","0"
"40005","56023","63","0"
"40005","ASI000","4",""
"40005","EUR000","14",""
"40005","OCE000","3",""
"40007","4027","3","0"
"40007","5143","10","0"
"40007","6019","14","0"
"40007","8015","0","82"
"40007","8025","0","7"
"40007","8123","50","0"
"40007","12083","20","0"
"40007","20055","3","0"
"40007","20081","0","16"
"40007","20175","74","25"
"40007","29021","0","9"
"40007","29047","0","37"
"40007","29105","25","0"
"40007","35015","7","0"
"40007","40009","0","5"
"40007","40019","0","5"
"40007","40021","1","0"
"40007","40023","3","0"
"40007","40025","10","0"
"40007","40027","0","40"
"40007","40031","0","3"
"40007","40037","0","24"
"40007","40039","3","0"
"40007","40045","8","0"
"40007","40047","0","12"
"40007","40059","8","0"
"40007","40083","37","0"
"40007","40091","0","1"
"40007","40107","0","12"
"40007","40109","17","38"
"40007","40119","0","8"
"40007","40123","0","14"
"40007","40137","13","0"
"40007","40139","27","13"
"40007","40153","3","2"
"40007","42065","6","0"
"40007","48009","0","5"
"40007","48195","0","13"
"40007","48251","2","0"
"40007","48295","8","15"
"40007","48357","35","0"
"40007","48375","36","0"
"40007","48381","3","0"
"40007","51510","0","11"
"40007","51740","3","0"
"40007","56031","4","0"
"40007","ASI000","3",""
"40007","EUR000","6",""
"40009","4021","107","78"
"40009","5045","274","0"
"40009","5097","0","58"
"40009","5115","0","12"
"40009","5145","22","0"
"40009","6019","37","0"
"40009","6023","0","25"
"40009","6025","49","0"
"40009","6029","37","6"
"40009","6035","0","7"
"40009","6037","46","31"
"40009","6039","15","0"
"40009","6059","30","0"
"40009","6065","38","30"
"40009","6067","32","0"
"40009","6071","39","0"
"40009","6073","0","10"
"40009","6077","16","12"
"40009","6085","8","0"
"40009","6087","16","0"
"40009","6095","0","10"
"40009","6103","0","11"
"40009","6107","0","1"
"40009","8001","0","10"
"40009","8031","0","1"
"40009","8041","32","0"
"40009","8055","11","0"
"40009","8069","0","3"
"40009","8101","3","0"
"40009","8117","0","6"
"40009","10003","0","3"
"40009","12009","7","0"
"40009","12075","0","4"
"40009","16001","0","32"
"40009","16035","0","4"
"40009","18097","0","46"
"40009","20175","0","10"
"40009","20189","24","0"
"40009","22063","0","109"
"40009","24005","5","0"
"40009","25023","0","5"
"40009","28033","14","0"
"40009","28061","0","42"
"40009","28065","0","12"
"40009","28071","0","14"
"40009","28131","1","0"
"40009","28133","7","0"
"40009","28135","7","14"
"40009","29037","0","4"
"40009","29145","0","28"
"40009","29181","6","0"
"40009","29510","0","9"
"40009","32003","25","0"
"40009","35025","27","0"
"40009","36001","0","82"
"40009","36011","0","4"
"40009","37183","0","9"
"40009","39027","6","0"
"40009","40011","0","8"
"40009","40013","3","2"
"40009","40015","0","19"
"40009","40017","0","37"
"40009","40019","0","3"
"40009","40025","0","2"
"40009","40027","20","39"
"40009","40031","0","20"
"40009","40035","5","3"
"40009","40037","45","0"
"40009","40039","50","145"
"40009","40043","30","0"
"40009","40051","0","58"
"40009","40055","22","8"
"40009","40057","0","4"
"40009","40069","0","3"
"40009","40075","0","108"
