"placeA_FIPS","placeB_FIPS","BtoA","AtoB"
"47001","1049","11","0"
"47001","1051","56","0"
"47001","1069","0","4"
"47001","1073","0","2"
"47001","1097","41","0"
"47001","4013","12","22"
"47001","4019","29","0"
"47001","5045","0","21"
"47001","6037","18","15"
"47001","6059","0","54"
"47001","6073","34","0"
"47001","6083","9","0"
"47001","6085","0","30"
"47001","8001","59","0"
"47001","8119","13","0"
"47001","11001","7","35"
"47001","12005","20","0"
"47001","12009","0","15"
"47001","12031","19","0"
"47001","12061","0","8"
"47001","12081","0","55"
"47001","12083","13","0"
"47001","12086","0","11"
"47001","12099","6","0"
"47001","12109","0","22"
"47001","12115","0","4"
"47001","12131","0","5"
"47001","13051","13","0"
"47001","13063","13","0"
"47001","13067","0","1"
"47001","13089","0","16"
"47001","13097","16","0"
"47001","13121","13","0"
"47001","13127","0","15"
"47001","13129","18","2"
"47001","13245","0","17"
"47001","13247","44","0"
"47001","13291","0","1"
"47001","16019","0","11"
"47001","17043","0","13"
"47001","17097","0","46"
"47001","17139","0","11"
"47001","17179","0","7"
"47001","17183","0","2"
"47001","18007","0","3"
"47001","18097","24","0"
"47001","18163","0","5"
"47001","18177","0","13"
"47001","19163","16","0"
"47001","19169","37","0"
"47001","20091","0","48"
"47001","21067","0","5"
"47001","21111","0","30"
"47001","21151","0","30"
"47001","21213","0","2"
"47001","21235","28","0"
"47001","24031","0","83"
"47001","25013","0","9"
"47001","25023","0","2"
"47001","26049","7","0"
"47001","26065","52","0"
"47001","26075","15","0"
"47001","26093","0","13"
"47001","26115","5","0"
"47001","26125","0","10"
"47001","26161","0","8"
"47001","26163","0","16"
"47001","27085","22","0"
"47001","28047","0","6"
"47001","31155","0","7"
"47001","32003","17","26"
"47001","33011","5","0"
"47001","36047","0","6"
"47001","36055","0","19"
"47001","36071","0","8"
"47001","37021","30","0"
"47001","37045","14","0"
"47001","37049","0","3"
"47001","37067","22","0"
"47001","37099","0","9"
"47001","37183","0","90"
"47001","37189","10","0"
"47001","38017","0","47"
"47001","39017","0","10"
"47001","39049","0","13"
"47001","39055","17","0"
"47001","39113","16","0"
"47001","39131","0","13"
"47001","39151","0","85"
"47001","41035","0","8"
"47001","41039","18","16"
"47001","41051","0","10"
"47001","42003","43","0"
"47001","42101","0","7"
"47001","45003","188","20"
"47001","45077","0","15"
"47001","45079","0","7"
"47001","45091","0","4"
"47001","47007","0","9"
"47001","47009","62","105"
"47001","47011","6","0"
"47001","47013","153","110"
"47001","47017","8","5"
"47001","47019","9","11"
"47001","47029","0","62"
"47001","47031","48","19"
"47001","47033","0","3"
"47001","47035","0","21"
"47001","47037","59","28"
"47001","47041","8","1"
"47001","47047","0","1"
"47001","47049","0","1"
"47001","47051","0","16"
"47001","47057","8","0"
"47001","47059","0","9"
"47001","47063","7","10"
"47001","47065","6","135"
"47001","47067","0","24"
"47001","47073","8","33"
"47001","47077","0","8"
"47001","47081","0","17"
"47001","47083","7","0"
"47001","47089","7","2"
"47001","47091","0","12"
"47001","47093","1,681","1,014"
"47001","47095","0","10"
"47001","47097","0","14"
"47001","47103","0","9"
"47001","47105","243","162"
"47001","47107","0","19"
"47001","47113","0","1"
"47001","47119","10","0"
"47001","47121","2","0"
"47001","47125","4","63"
"47001","47129","191","149"
"47001","47141","108","77"
"47001","47145","477","351"
"47001","47149","0","85"
"47001","47151","6","88"
"47001","47155","32","208"
"47001","47157","24","48"
"47001","47163","15","48"
"47001","47165","13","0"
"47001","47167","10","0"
"47001","47169","4","0"
"47001","47173","16","78"
"47001","47177","0","12"
"47001","47179","43","46"
"47001","47181","0","9"
"47001","47187","0","6"
"47001","48029","7","0"
"47001","48141","0","20"
"47001","48201","0","63"
"47001","48293","0","19"
"47001","48423","15","0"
"47001","48485","0","17"
"47001","48491","0","119"
"47001","51105","0","15"
"47001","51167","0","20"
"47001","51195","16","0"
"47001","51810","62","0"
"47001","51830","29","0"
"47001","53061","15","0"
"47001","54019","5","0"
"47001","54059","25","0"
"47001","55107","0","4"
"47001","55133","29","0"
"47001","55135","31","0"
"47001","ASI000","54",""
"47001","CAM000","50",""
"47001","EUR000","76",""
"47001","NAM000","32",""
"47001","OCE000","4",""
"47001","SAM000","59",""
"47003","1003","0","76"
"47003","1073","0","11"
"47003","1089","45","41"
"47003","1101","0","15"
"47003","1103","1","0"
"47003","2020","17","0"
"47003","4025","20","0"
"47003","5007","145","0"
"47003","6053","1","0"
"47003","6073","43","0"
"47003","6089","0","53"
"47003","6107","0","15"
"47003","10003","0","5"
"47003","12013","0","17"
"47003","12023","7","13"
"47003","12099","40","0"
"47003","12103","31","0"
"47003","12119","9","0"
"47003","13015","0","7"
"47003","13067","7","0"
"47003","13089","0","10"
"47003","13147","0","5"
"47003","13273","0","12"
"47003","17019","0","3"
"47003","17043","9","1"
"47003","17089","0","6"
"47003","17097","15","0"
"47003","17099","0","1"
"47003","17111","45","0"
"47003","17179","26","0"
"47003","17197","0","7"
"47003","18089","0","9"
"47003","19155","5","0"
"47003","20103","16","0"
"47003","21067","0","15"
"47003","22063","179","0"
"47003","22103","0","16"
"47003","25009","0","2"
"47003","26009","24","0"
"47003","26065","15","0"
"47003","26117","43","0"
"47003","26163","0","7"
"47003","27075","0","38"
"47003","28047","3","0"
"47003","29047","14","0"
"47003","29169","0","28"
"47003","31081","0","6"
"47003","32003","13","0"
"47003","36027","41","0"
"47003","40125","0","5"
"47003","42043","0","5"
"47003","42095","2","0"
"47003","45013","0","26"
"47003","45067","0","18"
"47003","45083","0","9"
"47003","47009","9","6"
"47003","47015","50","30"
"47003","47017","27","0"
"47003","47019","2","0"
"47003","47021","0","16"
"47003","47031","152","250"
"47003","47035","0","13"
"47003","47037","40","107"
"47003","47039","0","56"
"47003","47041","0","21"
"47003","47043","29","0"
"47003","47049","0","16"
"47003","47051","0","96"
"47003","47053","23","0"
"47003","47055","0","60"
"47003","47059","0","8"
"47003","47061","6","8"
"47003","47065","10","9"
"47003","47069","0","7"
"47003","47075","0","4"
"47003","47081","0","8"
"47003","47093","15","6"
"47003","47103","0","21"
"47003","47117","44","273"
"47003","47119","182","0"
"47003","47123","32","0"
"47003","47125","14","1"
"47003","47127","26","38"
"47003","47129","11","0"
"47003","47131","0","45"
"47003","47141","5","0"
"47003","47147","0","2"
"47003","47149","227","345"
"47003","47151","0","111"
"47003","47157","0","3"
"47003","47159","163","0"
"47003","47163","0","15"
"47003","47165","2","0"
"47003","47177","11","79"
"47003","47179","11","0"
"47003","47181","26","0"
"47003","47183","0","29"
"47003","47185","6","0"
"47003","47187","15","6"
"47003","47189","403","28"
"47003","48139","18","0"
"47003","48355","8","0"
"47003","48439","20","0"
"47003","53045","8","0"
"47003","ASI000","35",""
"47003","EUR000","9",""
"47003","SAM000","3",""
"47005","2020","19","0"
"47005","2090","0","28"
"47005","4003","0","14"
"47005","5031","0","4"
"47005","6107","14","0"
"47005","12011","15","0"
"47005","12061","4","0"
"47005","13067","2","0"
"47005","13215","5","0"
"47005","17127","0","5"
"47005","17197","0","13"
"47005","19179","0","14"
"47005","20103","18","0"
"47005","21047","8","0"
"47005","21101","0","77"
"47005","21103","0","10"
"47005","21107","2","0"
"47005","21211","0","2"
"47005","21213","0","3"
"47005","25003","0","31"
"47005","26009","3","0"
"47005","26099","0","166"
"47005","26115","0","11"
"47005","28137","14","0"
"47005","28141","0","23"
"47005","28145","10","0"
"47005","29229","36","0"
"47005","36027","10","0"
"47005","37087","2","0"
"47005","37093","14","0"
"47005","37127","1","0"
"47005","39087","61","0"
"47005","47007","0","6"
"47005","47017","108","107"
"47005","47037","0","8"
"47005","47039","3","0"
"47005","47041","1","0"
"47005","47043","26","22"
"47005","47053","32","0"
"47005","47069","0","8"
"47005","47071","0","14"
"47005","47079","74","92"
"47005","47085","35","30"
"47005","47093","0","28"
"47005","47113","9","0"
"47005","47123","0","1"
"47005","47125","0","5"
"47005","47131","0","4"
"47005","47157","19","11"
"47005","47165","3","0"
"47005","47167","0","15"
"47005","47179","10","0"
"47005","47183","0","9"
"47005","48029","1","0"
"47005","48451","0","14"
"47005","49057","0","16"
"47005","51520","3","0"
"47005","54003","22","0"
"47005","CAM000","11",""
"47007","6037","10","0"
"47007","6073","8","0"
"47007","12015","11","0"
"47007","12099","22","0"
"47007","13047","0","5"
"47007","13089","40","0"
"47007","13313","7","0"
"47007","17031","1","0"
"47007","21171","9","0"
"47007","21235","6","0"
"47007","26049","0","6"
"47007","28051","0","2"
"47007","32007","10","0"
"47007","38061","0","23"
"47007","42051","20","0"
"47007","47009","7","7"
"47007","47011","0","16"
"47007","47017","0","12"
"47007","47019","31","11"
"47007","47035","44","19"
"47007","47037","61","55"
"47007","47041","33","0"
"47007","47047","0","11"
"47007","47049","1","0"
"47007","47053","9","0"
"47007","47061","0","4"
"47007","47065","160","314"
"47007","47069","53","10"
"47007","47079","5","0"
"47007","47081","2","27"
"47007","47089","9","4"
"47007","47091","27","13"
"47007","47093","17","1"
"47007","47095","27","16"
"47007","47097","1","19"
"47007","47103","13","0"
"47007","47107","0","10"
"47007","47115","0","24"
"47007","47117","2","0"
"47007","47125","4","8"
"47007","47129","17","53"
"47007","47141","0","1"
"47007","47143","182","43"
"47007","47149","32","0"
"47007","47151","0","30"
"47007","47153","101","16"
"47007","47175","52","42"
"47007","47181","2","7"
"47007","47183","0","49"
"47007","47189","9","0"
"47007","50013","0","13"
"47009","1003","25","0"
"47009","1051","0","26"
"47009","1073","56","0"
"47009","1085","8","0"
"47009","1089","20","0"
"47009","1097","0","31"
"47009","1101","48","0"
"47009","1125","61","0"
"47009","1127","0","8"
"47009","2090","10","0"
"47009","4003","0","6"
"47009","4013","17","11"
"47009","4015","15","0"
"47009","5051","0","44"
"47009","5063","7","0"
"47009","6059","87","0"
"47009","6065","26","0"
"47009","6071","0","13"
"47009","6073","18","0"
"47009","6083","64","0"
"47009","8014","0","73"
"47009","8031","0","12"
"47009","8041","16","105"
"47009","9003","0","49"
"47009","10003","7","0"
"47009","10005","23","0"
"47009","12005","23","0"
"47009","12011","4","34"
"47009","12019","185","0"
"47009","12021","0","89"
"47009","12031","8","0"
"47009","12033","0","12"
"47009","12055","22","0"
"47009","12057","34","0"
"47009","12069","21","0"
"47009","12071","1","30"
"47009","12081","0","8"
"47009","12083","0","29"
"47009","12085","57","0"
"47009","12086","3","36"
"47009","12099","16","0"
"47009","12101","88","7"
"47009","12103","18","60"
"47009","12105","39","0"
"47009","12113","0","12"
"47009","12115","0","17"
"47009","13059","0","13"
"47009","13073","59","0"
"47009","13117","2","0"
"47009","13121","260","43"
"47009","13185","36","0"
"47009","13225","20","0"
"47009","13255","15","0"
"47009","13297","16","0"
"47009","15003","13","7"
"47009","16001","54","0"
"47009","16083","0","13"
"47009","17029","15","0"
"47009","17043","27","0"
"47009","17115","9","0"
"47009","18003","0","22"
"47009","18089","11","0"
"47009","18095","33","0"
"47009","18097","0","3"
"47009","18113","22","0"
"47009","18157","0","11"
"47009","19087","72","0"
"47009","21015","3","0"
"47009","21029","1","0"
"47009","21045","1","0"
"47009","21047","0","8"
"47009","21067","21","3"
"47009","21081","0","7"
"47009","21111","0","16"
"47009","21125","8","0"
"47009","21151","17","51"
"47009","21153","4","0"
"47009","21223","0","2"
"47009","21227","0","7"
"47009","22033","6","0"
"47009","22117","8","0"
"47009","23027","7","0"
"47009","24021","0","31"
"47009","24510","0","35"
"47009","25003","0","3"
"47009","25009","37","0"
"47009","26021","107","0"
"47009","26039","13","0"
"47009","26045","0","8"
"47009","26065","17","0"
"47009","26075","16","0"
"47009","26087","0","1"
"47009","26091","0","9"
"47009","26099","0","26"
"47009","26125","18","0"
"47009","26145","0","6"
"47009","28029","0","8"
"47009","28105","0","7"
"47009","28109","69","0"
"47009","28115","2","0"
"47009","32003","39","0"
"47009","34005","2","0"
"47009","34021","16","0"
"47009","34041","16","0"
"47009","36047","119","42"
"47009","36053","0","5"
"47009","36105","8","0"
"47009","36109","77","0"
"47009","36111","16","0"
"47009","37021","0","14"
"47009","37025","0","22"
"47009","37027","136","0"
"47009","37105","11","0"
"47009","37133","0","15"
"47009","37161","0","88"
"47009","37171","47","0"
"47009","37183","0","20"
"47009","37191","0","2"
"47009","39017","0","7"
"47009","39035","24","12"
"47009","39061","7","18"
"47009","39067","37","0"
"47009","39081","18","0"
"47009","39145","0","5"
"47009","39167","21","0"
"47009","40087","0","19"
"47009","41051","0","18"
"47009","41067","0","42"
"47009","42003","19","0"
"47009","42013","0","24"
"47009","42029","0","3"
"47009","42041","0","3"
"47009","42101","11","0"
"47009","45013","0","59"
"47009","45019","79","23"
"47009","45045","0","29"
"47009","47011","40","98"
"47009","47013","9","0"
"47009","47019","0","33"
"47009","47021","1","0"
"47009","47023","0","10"
"47009","47025","92","108"
"47009","47029","29","1"
"47009","47031","0","31"
"47009","47035","85","0"
"47009","47037","110","173"
"47009","47041","0","12"
"47009","47043","0","109"
"47009","47047","0","8"
"47009","47049","21","0"
"47009","47057","7","21"
"47009","47059","5","24"
"47009","47065","76","172"
"47009","47069","0","8"
"47009","47073","11","10"
"47009","47079","1","0"
"47009","47081","0","49"
"47009","47089","3","60"
"47009","47091","0","5"
"47009","47093","1,397","1,452"
"47009","47095","0","22"
"47009","47097","4","27"
"47009","47105","295","568"
"47009","47107","98","19"
"47009","47109","0","5"
"47009","47113","1","0"
"47009","47119","0","3"
"47009","47123","300","74"
"47009","47125","22","0"
"47009","47129","140","3"
"47009","47131","0","3"
"47009","47139","0","2"
"47009","47141","157","0"
"47009","47143","0","15"
"47009","47145","203","7"
"47009","47147","0","21"
"47009","47149","27","0"
"47009","47151","24","0"
"47009","47155","472","150"
"47009","47157","69","8"
"47009","47161","0","1"
"47009","47163","3","0"
"47009","47165","42","17"
"47009","47171","0","5"
"47009","47173","0","42"
"47009","47177","0","5"
"47009","47179","193","370"
"47009","47181","8","8"
"47009","47185","3","0"
"47009","47189","0","19"
"47009","48015","0","33"
"47009","48027","37","0"
"47009","48085","0","27"
"47009","48113","30","0"
"47009","48183","0","18"
"47009","48209","0","9"
"47009","48215","7","0"
"47009","48251","3","0"
"47009","48303","15","0"
"47009","48309","0","17"
"47009","48355","0","7"
"47009","48423","0","5"
"47009","48439","49","0"
"47009","48441","41","42"
"47009","48451","0","24"
"47009","48453","0","44"
"47009","48485","18","0"
"47009","49011","3","0"
"47009","49035","0","28"
"47009","49049","0","203"
"47009","51035","11","0"
"47009","51041","31","0"
"47009","51550","0","5"
"47009","51810","12","0"
"47009","53009","0","10"
"47009","54035","81","0"
"47009","55095","0","2"
"47009","55137","0","2"
"47009","AFR000","3",""
"47009","ASI000","87",""
"47009","CAM000","92",""
"47009","EUR000","3",""
"47009","SAM000","8",""
"47011","1003","4","0"
"47011","1009","20","0"
"47011","1031","0","6"
"47011","1069","0","5"
"47011","1071","18","0"
"47011","1073","63","0"
"47011","1077","0","4"
"47011","1089","19","2"
"47011","1097","71","0"
"47011","1103","0","3"
"47011","1109","0","44"
"47011","1113","4","0"
"47011","1117","70","0"
"47011","1121","1","0"
"47011","1125","0","1"
"47011","1127","4","0"
"47011","2020","120","0"
"47011","2090","0","8"
"47011","2150","0","5"
"47011","4013","52","7"
"47011","5077","10","0"
"47011","5123","0","9"
"47011","5143","0","101"
"47011","6065","24","0"
"47011","6067","60","0"
"47011","6075","0","18"
"47011","6089","0","71"
"47011","6099","0","21"
"47011","8035","19","0"
"47011","8041","4","0"
"47011","8059","0","11"
"47011","8077","0","47"
"47011","9001","0","18"
"47011","9011","0","24"
"47011","12001","0","11"
"47011","12003","19","0"
"47011","12005","0","26"
"47011","12009","22","0"
"47011","12015","23","0"
"47011","12023","0","25"
"47011","12033","0","8"
"47011","12057","13","0"
"47011","12069","19","0"
"47011","12077","0","47"
"47011","12095","7","0"
"47011","12097","15","0"
"47011","12099","10","0"
"47011","12103","50","0"
"47011","12105","0","149"
"47011","12111","0","59"
"47011","12127","53","0"
"47011","13015","48","0"
"47011","13035","0","17"
"47011","13045","40","0"
"47011","13047","0","69"
"47011","13057","36","0"
"47011","13059","0","76"
"47011","13067","65","85"
"47011","13073","25","0"
"47011","13077","26","0"
"47011","13083","19","0"
"47011","13089","15","14"
"47011","13097","12","0"
"47011","13105","4","0"
"47011","13111","39","0"
"47011","13113","0","23"
"47011","13115","7","0"
"47011","13121","50","0"
"47011","13129","27","74"
"47011","13135","57","0"
"47011","13151","0","64"
"47011","13163","0","20"
"47011","13177","6","0"
"47011","13213","28","0"
"47011","13225","0","13"
"47011","13241","7","0"
"47011","13245","0","10"
"47011","13295","98","34"
"47011","13311","70","0"
"47011","13313","100","83"
"47011","17007","39","0"
"47011","17031","3","0"
"47011","17043","0","11"
"47011","17063","15","0"
"47011","17089","28","172"
"47011","17097","0","13"
"47011","17167","0","24"
"47011","17201","0","16"
"47011","18043","0","42"
"47011","18057","5","0"
"47011","18097","17","0"
"47011","18147","0","4"
"47011","18151","0","14"
"47011","20061","0","30"
"47011","20091","8","0"
"47011","20173","95","11"
"47011","21025","0","10"
"47011","21037","20","0"
"47011","21043","0","5"
"47011","21067","11","0"
"47011","21111","32","0"
"47011","21193","4","0"
"47011","21199","40","0"
"47011","21221","0","5"
"47011","22071","79","0"
"47011","22105","0","11"
"47011","22115","31","0"
"47011","23025","4","0"
"47011","26021","39","0"
"47011","26045","0","34"
"47011","26067","18","0"
"47011","26081","0","6"
"47011","26099","0","6"
"47011","26129","0","3"
"47011","26163","25","0"
"47011","27137","0","6"
"47011","28029","0","9"
"47011","28039","0","10"
"47011","28047","0","7"
"47011","28059","0","44"
"47011","28107","0","4"
"47011","28151","12","0"
"47011","29019","76","0"
"47011","29031","13","0"
"47011","29043","13","0"
"47011","31055","19","0"
"47011","34003","0","15"
"47011","34005","0","46"
"47011","34021","5","0"
"47011","35049","0","2"
"47011","36001","0","16"
"47011","36047","0","11"
"47011","36071","0","10"
"47011","36091","0","40"
"47011","36103","3","0"
"47011","37025","0","23"
"47011","37027","0","14"
"47011","37035","0","13"
"47011","37081","5","0"
"47011","37085","0","23"
"47011","37113","59","0"
"47011","37133","45","0"
"47011","39061","13","0"
"47011","39063","8","0"
"47011","39077","19","0"
"47011","39089","0","143"
"47011","39109","13","0"
"47011","39113","34","0"
"47011","39141","0","10"
"47011","39159","21","0"
"47011","39165","87","0"
"47011","40031","0","6"
"47011","42003","76","0"
"47011","42013","18","0"
"47011","42017","8","0"
"47011","42061","0","10"
"47011","42101","0","32"
"47011","45003","0","4"
"47011","45013","0","18"
"47011","45015","0","90"
"47011","45019","7","0"
"47011","45045","0","74"
"47011","45049","0","8"
"47011","45051","12","0"
"47011","45077","0","10"
"47011","45083","94","0"
"47011","46127","26","0"
"47011","47013","4","5"
"47011","47015","0","34"
"47011","47019","0","30"
"47011","47033","3","0"
"47011","47035","71","0"
"47011","47037","169","156"
"47011","47053","3","0"
"47011","47055","0","32"
"47011","47059","6","0"
"47011","47065","544","629"
"47011","47069","1","0"
"47011","47071","0","5"
"47011","47073","25","0"
