"placeA_FIPS","placeB_FIPS","BtoA","AtoB"
"2290","53","15","0"
"2290","26","2","0"
"2290","20","4","38"
"2290","48","1","427"
"2290","47","2","0"
"2290","40","6","37"
"2290","41","31","0"
"2290","2170","42","38"
"2290","4","9","0"
"2290","6","3","0"
"2290","2070","3","0"
"2290","ASI000","1","0"
"2290","2188","10","0"
"2290","39","4","0"
"2290","2261","1","0"
"2290","19","2","0"
"2290","30","2","0"
"2290","36","2","0"
"2290","35","3","0"
"2290","55","4","0"
"2290","2020","67","11"
"2290","2100","5","0"
"2090","2130","49","45"
"2090","56","27","56"
"2090","ASI000","922","0"
"2090","51","248","372"
"2090","ISL000","70","0"
"2090","2290","189","134"
"2090","50","0","17"
"2090","19","53","38"
"2090","NAM000","94","0"
"2090","35","20","72"
"2090","18","44","0"
"2090","42","95","85"
"2090","23","6","14"
"2090","24","144","696"
"2090","2050","84","2"
"2090","26","87","53"
"2090","27","124","211"
"2090","20","232","203"
"2090","21","202","122"
"2090","22","256","251"
"2090","49","314","475"
"2090","46","92","0"
"2090","47","244","174"
"2090","45","15","148"
"2090","28","50","170"
"2090","29","198","99"
"2090","40","167","122"
"2090","41","71","174"
"2090","1","499","499"
"2090","2170","322","256"
"2090","5","65","9"
"2090","4","594","852"
"2090","6","381","1019"
"2090","2110","108","38"
"2090","8","297","432"
"2090","2261","53","16"
"2090","2240","383","208"
"2090","2013","27","0"
"2090","OCE000","66","0"
"2090","EUR000","121","0"
"2090","25","18","67"
"2090","39","183","109"
"2090","9","12","0"
"2090","12","235","1094"
"2090","72","158","0"
"2090","SAM000","6","0"
"2090","CAM000","86","0"
"2090","11","105","0"
"2090","10","0","91"
"2090","13","806","841"
"2090","2122","295","104"
"2090","15","123","408"
"2090","48","497","2880"
"2090","17","141","53"
"2090","38","17","376"
"2090","33","92","0"
"2090","32","62","152"
"2090","31","84","148"
"2090","30","47","245"
"2090","37","167","714"
"2090","36","29","518"
"2090","53","468","793"
"2090","34","70","78"
"2090","2068","174","2"
"2090","55","30","145"
"2090","16","113","119"
"2090","54","27","131"
"2090","2060","24","0"
"2090","2195","27","0"
"2198","NAM000","11","0"
"2198","2195","13","0"
"2198","2130","55","54"
"2198","49","2","0"
"2198","41","60","0"
"2198","1","0","10"
"2198","2170","8","0"
"2198","5","2","0"
"2198","4","38","0"
"2198","6","19","0"
"2198","2110","10","0"
"2198","8","1","0"
"2198","9","28","0"
"2198","2180","8","0"
"2198","39","2","0"
"2198","12","0","25"
"2198","15","6","0"
"2198","48","2","0"
"2198","16","4","0"
"2198","19","12","0"
"2198","18","7","0"
"2198","30","4","0"
"2198","37","0","52"
"2198","50","2","0"
"2198","53","127","0"
"2198","34","1","0"
"2198","2020","52","16"
"2198","32","7","0"
"2050","37","0","47"
"2050","2290","33","0"
"2050","EUR000","5","0"
"2050","27","14","0"
"2050","21","0","6"
