"placeA_FIPS","placeB_FIPS","BtoA","AtoB"
"55083","55109","8","0"
"55083","55087","37","134"
"55083","55085","8","0"
"55083","55133","20","32"
"55083","55139","57","72"
"55083","55111","0","7"
"55083","CAM000","22","0"
"55083","26","13","114"
"55083","27","70","25"
"55083","55115","27","27"
"55083","21","20","12"
"55083","48","11","33"
"55083","49","0","26"
"55083","55135","0","22"
"55083","45","28","0"
"55083","28","0","30"
"55083","29","2","0"
"55083","55131","18","14"
"55083","41","0","28"
"55083","1","2","0"
"55083","2","0","9"
"55083","4","6","0"
"55083","6","3","43"
"55083","8","12","0"
"55083","55097","0","17"
"55083","55113","3","6"
"55083","55093","0","27"
"55083","55101","30","3"
"55083","ASI000","31","0"
"55083","39","5","0"
"55083","12","14","18"
"55083","55117","9","20"
"55083","17","47","0"
"55083","16","5","0"
"55083","19","0","3"
"55083","32","0","9"
"55083","55105","5","0"
"55083","51","12","0"
"55083","55125","23","2"
"55083","53","12","0"
"55083","EUR000","9","0"
"55081","55083","13","0"
"55081","55123","179","97"
"55081","55087","0","17"
"55081","55085","3","3"
"55081","54","4","0"
"55081","42","17","116"
"55081","55117","39","0"
"55081","55127","0","9"
"55081","55125","0","7"
"55081","55131","0","6"
"55081","55121","29","17"
"55081","55139","7","24"
"55081","24","0","5"
"55081","25","3","0"
"55081","26","28","73"
"55081","27","95","266"
"55081","20","169","4"
"55081","21","4","45"
"55081","22","1","0"
"55081","49","8","12"
"55081","46","17","0"
"55081","47","116","0"
"55081","45","82","0"
"55081","28","3","15"
"55081","29","12","72"
"55081","40","3","11"
"55081","41","3","0"
"55081","1","6","0"
"55081","2","10","0"
"55081","5","8","0"
"55081","4","1","0"
"55081","6","16","20"
"55081","8","13","36"
"55081","55111","28","15"
"55081","56","5","0"
"55081","EUR000","37","0"
"55081","55099","15","0"
"55081","55103","3","0"
"55081","55095","0","3"
"55081","55097","24","206"
"55081","39","6","22"
"55081","55091","0","3"
"55081","55101","8","88"
"55081","ASI000","48","0"
"55081","55115","6","0"
"55081","55093","3","33"
"55081","CAM000","14","0"
"55081","55107","0","1"
"55081","55133","50","0"
"55081","51","5","0"
"55081","13","43","0"
"55081","12","39","60"
"55081","15","3","0"
"55081","48","201","6"
"55081","17","103","147"
"55081","55105","25","0"
"55081","19","36","48"
"55081","18","5","0"
"55081","55109","1","0"
"55081","37","8","44"
"55081","36","2","0"
"55081","53","2","0"
"55081","34","1","0"
"55081","33","1","0"
"55081","32","56","0"
"55081","55137","6","0"
"55081","55141","25","0"
"55079","ISL000","16","0"
"55079","CAR000","271","0"
"55079","24","225","123"
"55079","25","251","158"
"55079","55113","8","8"
"55079","27","647","1053"
"55079","20","110","94"
"55079","21","108","111"
"55079","55117","675","594"
"55079","23","21","73"
"55079","55119","1","20"
"55079","28","417","393"
"55079","29","251","340"
"55079","4","398","668"
"55079","8","307","455"
"55079","55103","0","7"
"55079","55101","1761","1815"
"55079","55107","0","9"
"55079","55105","350","248"
"55079","54","0","7"
"55079","55109","85","7"
"55079","51","266","212"
"55079","50","55","32"
"55079","53","394","276"
"55079","EUR000","451","0"
"55079","55083","32","35"
"55079","55081","8","22"
"55079","56","0","10"
"55079","55087","201","268"
"55079","55085","49","56"
"55079","55089","1107","1134"
"55079","CAM000","386","0"
"55079","55139","553","820"
"55079","55137","32","102"
"55079","55135","10","118"
"55079","55133","5786","7882"
"55079","55131","1331","1252"
"55079","55111","169","87"
"55079","55099","0","8"
"55079","55095","73","7"
"55079","55097","82","150"
"55079","26","839","355"
"55079","55091","0","16"
"55079","55115","32","55"
"55079","55093","17","93"
"55079","55129","0","5"
"55079","39","398","356"
"55079","38","72","0"
"55079","22","52","81"
"55079","33","8","72"
"55079","55121","14","3"
"55079","31","138","61"
"55079","55123","79","22"
"55079","37","484","393"
"55079","55125","72","16"
"55079","35","186","87"
"55079","55127","1080","582"
"55079","NAM000","78","0"
"55079","2","93","46"
"55079","6","1115","1077"
"55079","AFR000","399","0"
"55079","ASI000","1576","0"
"55079","11","12","52"
"55079","10","126","9"
"55079","13","287","791"
"55079","12","837","1920"
"55079","15","34","35"
"55079","17","4532","2928"
"55079","16","21","60"
"55079","19","228","208"
"55079","18","698","493"
"55079","SAM000","54","0"
