"placeA_FIPS","placeB_FIPS","BtoA","AtoB"
"8035","8037","3","3"
"8035","45","13","209"
"8035","53","179","473"
"8035","54","8","0"
"8035","CAM000","58","0"
"8035","42","270","68"
"8035","8059","2022","1209"
"8035","8039","574","380"
"8035","8051","6","24"
"8035","8077","70","202"
"8035","36","238","105"
"8035","8119","14","39"
"8035","49","471","251"
"8035","CAR000","5","0"
"8035","34","205","21"
"8035","8117","10","1"
"8035","OCE000","191","0"
"8035","8115","0","2"
"8035","8097","41","0"
"8035","25","307","13"
"8035","8095","0","10"
"8035","27","232","298"
"8035","8093","83","3"
"8035","21","21","32"
"8035","22","41","203"
"8035","23","0","68"
"8035","46","0","120"
"8035","47","75","158"
"8035","51","227","458"
"8035","8069","149","707"
"8035","28","22","0"
"8035","29","296","49"
"8035","40","41","63"
"8035","41","360","142"
"8035","1","7","63"
"8035","SAM000","228","0"
"8035","5","38","64"
"8035","4","467","504"
"8035","6","1518","1542"
"8035","9","164","79"
"8035","AFR000","55","0"
"8035","56","76","135"
"8035","8073","0","13"
"8035","10","6","0"
"8035","8041","914","903"
"8035","8107","15","6"
"8035","8043","30","0"
"8035","8101","207","127"
"8035","8045","25","24"
"8035","8103","0","3"
"8035","8047","0","43"
"8035","8049","13","0"
"8035","8065","0","4"
"8035","8063","0","5"
"8035","12","246","486"
"8035","ASI000","520","0"
"8035","24","48","89"
"8035","20","28","281"
"8035","38","18","11"
"8035","8123","70","769"
"8035","11","0","2"
"8035","8085","0","26"
"8035","13","387","88"
"8035","8087","0","25"
"8035","15","233","86"
"8035","48","1731","1077"
"8035","17","288","361"
"8035","16","24","101"
"8035","19","0","105"
"8035","18","123","5"
"8035","8075","41","13"
"8035","30","35","148"
"8035","37","247","242"
"8035","8089","0","6"
"8035","35","367","35"
"8035","26","137","15"
"8035","33","89","30"
"8035","55","235","76"
"8035","EUR000","208","0"
"8035","32","263","314"
"8035","39","267","76"
"8035","31","198","367"
"8035","8067","80","64"
"8035","50","33","3"
"8053","26","1","0"
"8053","27","1","0"
"8053","48","20","14"
"8053","18","10","0"
"8053","8077","5","0"
"8053","53","0","10"
"8053","6","7","0"
"8053","8117","2","0"
"8037","8051","0","58"
"8037","56","0","34"
"8037","53","55","82"
"8037","8071","0","8"
"8037","51","18","0"
"8037","8059","122","30"
"8037","CAM000","131","0"
"8037","8077","5","19"
"8037","36","29","52"
"8037","OCE000","43","0"
"8037","49","0","36"
"8037","8117","57","51"
"8037","8097","216","12"
"8037","25","196","66"
"8037","26","17","0"
"8037","27","0","71"
"8037","20","0","15"
"8037","21","0","8"
"8037","48","41","128"
"8037","23","20","5"
