"placeA_FIPS","placeB_FIPS","BtoA","AtoB"
"31001","4013","157","0"
"31001","4015","2","164"
"31001","5005","144","0"
"31001","5033","15","0"
"31001","6047","16","0"
"31001","6059","28","0"
"31001","6073","22","0"
"31001","6111","12","0"
"31001","8001","15","155"
"31001","8005","23","0"
"31001","8013","44","0"
"31001","8035","81","0"
"31001","8041","38","0"
"31001","8095","6","0"
"31001","8123","16","0"
"31001","12109","3","0"
"31001","13083","45","0"
"31001","16005","6","0"
"31001","17019","8","0"
"31001","18069","23","0"
"31001","19051","3","0"
"31001","19103","0","19"
"31001","19117","1","0"
"31001","19133","0","16"
"31001","19155","7","0"
"31001","19191","2","0"
"31001","19193","0","2"
"31001","20015","0","50"
"31001","20041","0","1"
"31001","20057","16","0"
"31001","20091","0","15"
"31001","20155","15","0"
"31001","20169","7","0"
"31001","20197","1","0"
"31001","22015","0","10"
"31001","22079","0","24"
"31001","27053","0","8"
"31001","29019","3","0"
"31001","29029","2","0"
"31001","29043","9","0"
"31001","29077","14","0"
"31001","29147","0","31"
"31001","29510","2","0"
"31001","30049","0","12"
"31001","31003","136","2"
"31001","31013","3","73"
"31001","31015","0","2"
"31001","31019","111","124"
"31001","31023","2","17"
"31001","31025","23","0"
"31001","31031","5","0"
"31001","31033","20","0"
"31001","31035","406","72"
"31001","31037","34","0"
"31001","31041","67","14"
"31001","31043","0","32"
"31001","31045","0","35"
"31001","31047","22","23"
"31001","31051","0","5"
"31001","31053","6","28"
"31001","31055","150","62"
"31001","31059","3","0"
"31001","31061","11","33"
"31001","31063","4","4"
"31001","31067","43","0"
"31001","31071","17","0"
"31001","31077","8","0"
"31001","31079","197","102"
"31001","31081","0","56"
"31001","31083","0","2"
"31001","31089","0","2"
"31001","31093","0","4"
"31001","31099","94","40"
"31001","31109","104","137"
"31001","31111","24","32"
"31001","31113","0","3"
"31001","31117","0","1"
"31001","31119","3","19"
"31001","31127","0","10"
"31001","31129","0","31"
"31001","31131","30","0"
"31001","31137","5","6"
"31001","31141","0","17"
"31001","31143","0","2"
"31001","31145","28","0"
"31001","31151","3","3"
"31001","31153","48","27"
"31001","31155","0","3"
"31001","31157","51","9"
"31001","31159","9","14"
"31001","31165","30","0"
"31001","31173","3","0"
"31001","31175","0","6"
"31001","31181","41","29"
"31001","31185","4","4"
"31001","32003","0","135"
"31001","34005","4","0"
"31001","35047","33","0"
"31001","38035","2","0"
"31001","42055","0","9"
"31001","45085","0","35"
"31001","46053","23","0"
"31001","46065","7","0"
"31001","46103","9","5"
"31001","48085","10","0"
"31001","48113","13","0"
"31001","48439","4","0"
"31001","48441","0","24"
"31001","49015","0","10"
"31001","49035","17","0"
"31001","49049","0","7"
"31001","50021","0","43"
"31001","53033","4","0"
"31001","53061","0","8"
"31001","56005","38","26"
"31001","56015","0","44"
"31001","ASI000","52",""
"31001","CAM000","2",""
"31001","EUR000","5",""
"31001","NAM000","2",""
"31003","4019","2","0"
"31003","6107","1","0"
"31003","8069","2","0"
"31003","13117","0","115"
"31003","13145","1","0"
"31003","17011","2","0"
"31003","19053","32","0"
"31003","19125","0","3"
"31003","19155","2","0"
"31003","19185","0","33"
"31003","27145","2","0"
"31003","29189","0","10"
"31003","31009","0","5"
"31003","31011","7","11"
"31003","31015","0","5"
"31003","31019","0","18"
"31003","31023","3","0"
"31003","31025","2","0"
"31003","31027","0","5"
"31003","31039","0","23"
"31003","31047","4","0"
"31003","31053","0","42"
"31003","31055","18","0"
"31003","31067","9","0"
"31003","31079","0","59"
"31003","31089","27","46"
"31003","31107","16","17"
"31003","31109","10","3"
"31003","31111","4","0"
"31003","31119","45","120"
"31003","31139","22","9"
"31003","31141","5","0"
"31003","31155","0","3"
"31003","31167","3","53"
"31003","31177","10","0"
"31003","31179","0","32"
"31003","31185","10","0"
"31003","45083","2","0"
"31003","46027","0","5"
"31003","46065","3","0"
"31003","46135","0","4"
"31003","56005","0","31"
"31003","56015","3","0"
"31003","ASI000","2",""
"31005","31033","0","6"
"31005","31041","2","0"
"31005","31045","1","0"
"31005","31049","6","0"
"31005","31101","7","0"
"31005","31109","40","0"
"31005","31135","0","6"
"31007","8059","15","0"
"31007","8081","9","0"
"31007","8123","10","0"
"31007","13073","0","32"
"31007","31047","0","3"
"31007","31105","0","6"
"31007","31123","0","18"
"31007","31157","30","0"
"31007","31185","0","4"
"31007","56021","4","0"
"31007","EUR000","11",""
"31009","8121","13","0"
"31009","31041","28","0"
"31009","31063","0","3"
"31009","31071","4","0"
"31009","31109","8","13"
"31009","31113","0","26"
"31009","31127","0","7"
"31009","31141","0","2"
"31011","6059","3","0"
"31011","6073","0","16"
"31011","12033","0","2"
"31011","12081","0","1"
"31011","12086","2","0"
"31011","19015","6","0"
"31011","19053","1","0"
"31011","19155","5","0"
"31011","20127","5","0"
"31011","27123","0","11"
"31011","31019","15","5"
"31011","31023","0","1"
"31011","31077","11","0"
"31011","31079","15","14"
"31011","31105","0","9"
"31011","31109","45","169"
"31011","31111","5","0"
"31011","31119","44","40"
"31011","31125","6","20"
"31011","31141","23","56"
"31011","31145","0","6"
"31011","31151","0","4"
"31011","31153","8","0"
"31011","31169","0","3"
"31011","31175","0","14"
"31011","31179","0","11"
"31011","40131","3","0"
"31011","46103","0","13"
"31011","ASI000","2",""
"31013","4003","122","0"
"31013","4015","9","0"
"31013","5129","39","0"
"31013","6029","23","0"
"31013","6037","26","0"
"31013","6059","7","0"
"31013","6065","14","0"
"31013","6071","4","0"
"31013","8077","0","15"
"31013","8087","0","68"
"31013","8121","2","0"
"31013","8123","6","0"
"31013","10003","13","0"
"31013","17167","11","0"
"31013","19147","0","20"
"31013","19155","8","0"
"31013","20021","24","0"
"31013","20087","0","9"
"31013","20103","0","9"
"31013","20155","0","18"
"31013","26021","0","12"
"31013","27103","3","0"
"31013","29085","0","3"
"31013","30063","15","0"
"31013","31015","0","24"
"31013","31017","0","9"
"31013","31019","49","9"
"31013","31025","0","3"
"31013","31027","5","0"
"31013","31031","0","6"
"31013","31045","59","88"
"31013","31055","19","0"
"31013","31059","0","24"
"31013","31063","2","0"
"31013","31065","4","0"
"31013","31069","0","1"
"31013","31089","43","0"
"31013","31109","4","10"
"31013","31119","0","20"
"31013","31121","0","3"
"31013","31123","34","2"
"31013","31127","2","0"
"31013","31157","66","66"
"31013","31159","0","50"
"31013","31161","36","6"
"31013","31185","2","0"
"31013","32003","0","28"
"31013","34003","2","0"
"31013","39061","4","0"
"31013","46047","120","0"
"31013","46103","0","15"
"31013","48381","4","0"
"31013","48451","0","12"
"31013","56001","0","15"
"31013","56005","44","0"
"31013","56009","0","11"
"31013","56015","13","0"
"31013","ASI000","17",""
"31013","EUR000","25",""
"31015","6065","0","20"
"31015","8013","0","16"
"31015","19155","4","0"
"31015","20091","3","0"
"31015","31017","0","9"
"31015","31059","7","0"
"31015","31079","2","0"
"31015","31089","2","0"
"31015","31107","1","0"
"31015","31153","0","11"
"31015","31177","8","0"
"31015","31179","0","3"
"31015","46053","1","33"
"31015","ASI000","3",""
"31017","12011","1","0"
"31017","12049","27","0"
"31017","13111","9","0"
"31017","20169","1","0"
"31017","31019","0","7"
"31017","31031","6","27"
"31017","31055","0","24"
"31017","31071","0","1"
"31017","31079","1","0"
"31017","31093","0","3"
"31017","31103","3","0"
"31017","31109","3","30"
"31017","31119","0","9"
"31017","31131","0","20"
"31017","31139","15","0"
"31017","31141","8","0"
"31017","31149","14","37"
"31017","31157","0","5"
"31017","31163","6","0"
"31017","31175","1","12"
"31017","31179","3","0"
"31017","41015","3","0"
"31017","46005","0","29"
"31017","46103","1","0"
"31017","48421","0","6"
"31017","56005","1","0"
"31017","EUR000","1",""
"31019","4001","9","0"
"31019","4013","69","18"
"31019","4019","16","0"
"31019","6065","0","17"
"31019","6073","0","4"
"31019","6111","0","21"
"31019","8005","195","0"
"31019","8035","34","0"
"31019","8067","6","0"
"31019","8069","0","63"
"31019","8075","25","0"
"31019","8123","47","55"
"31019","9007","16","0"
"31019","12005","0","12"
"31019","12057","21","0"
"31019","12091","0","34"
"31019","13121","4","0"
"31019","15003","3","0"
"31019","16001","43","0"
"31019","17031","26","0"
"31019","17071","0","3"
"31019","17195","3","0"
"31019","18059","16","0"
"31019","18105","15","0"
"31019","18141","0","5"
"31019","19015","10","0"
"31019","19019","0","11"
"31019","19021","15","0"
"31019","19033","0","1"
"31019","19061","0","8"
"31019","19065","0","4"
"31019","19071","0","5"
"31019","19113","0","32"
"31019","19145","0","7"
"31019","19153","33","65"
"31019","19155","15","0"
"31019","19167","0","1"
"31019","20001","0","6"
"31019","20005","0","6"
"31019","20009","0","2"
"31019","20035","0","2"
"31019","20051","40","0"
"31019","20091","0","15"
"31019","20109","0","15"
"31019","20123","0","1"
"31019","20125","13","5"
"31019","20161","16","0"
