"placeA_FIPS","placeB_FIPS","BtoA","AtoB"
"45007","45033","1","8"
"45007","ASI000","460","0"
"45007","54","2","0"
"45007","42","198","0"
"45007","45027","28","46"
"45007","45021","27","1"
"45007","45009","23","15"
"45007","CAR000","27","0"
"45007","NAM000","13","0"
"45007","OCE000","13","0"
"45007","AFR000","71","0"
"45007","45037","10","0"
"45007","SAM000","58","0"
"45007","45077","1082","1167"
"45007","24","37","193"
"45007","25","5","39"
"45007","26","114","87"
"45007","27","6","0"
"45007","21","132","81"
"45007","22","140","18"
"45007","45089","1","3"
"45007","47","112","168"
"45007","44","4","0"
"45007","28","10","44"
"45007","29","22","37"
"45007","41","5","0"
"45007","1","63","23"
"45007","45075","1","19"
"45007","45073","508","639"
"45007","4","46","0"
"45007","45071","0","14"
"45007","6","142","193"
"45007","9","74","39"
"45007","8","31","13"
"45007","45091","3","95"
"45007","45079","113","318"
"45007","45015","36","411"
"45007","45031","0","14"
"45007","45041","0","27"
"45007","45011","6","9"
"45007","45013","1","74"
"45007","CAM000","68","0"
"45007","45051","4","298"
"45007","45055","8","0"
"45007","45053","0","20"
"45007","45067","0","1"
"45007","45019","130","307"
"45007","39","142","4"
"45007","45057","13","24"
"45007","45047","127","164"
"45007","72","216","19"
"45007","45087","18","45"
"45007","45059","13","148"
"45007","45045","1627","1732"
"45007","11","52","0"
"45007","51","6","225"
"45007","13","670","576"
"45007","12","295","661"
"45007","48","77","123"
"45007","17","12","97"
"45007","55","14","0"
"45007","33","40","0"
"45007","18","152","162"
"45007","31","0","16"
"45007","56","0","20"
"45007","37","536","156"
"45007","36","173","149"
"45007","53","0","25"
"45007","34","0","26"
"45007","45061","0","13"
"45007","45063","155","29"
"45007","45065","0","9"
"45007","32","71","0"
"45007","45043","29","0"
"45007","45069","2","0"
"45007","45085","50","10"
"45007","45083","187","446"
"45007","45035","11","14"
"45007","45081","11","0"
"45005","45007","6","1"
"45005","45049","62","35"
"45005","45029","3","23"
"45005","45025","0","2"
"45005","45027","0","2"
"45005","45021","14","1"
"45005","45009","35","0"
"45005","45011","58","12"
"45005","24","26","0"
"45005","26","0","18"
"45005","45035","3","5"
"45005","22","21","0"
"45005","45045","64","0"
"45005","45075","0","65"
"45005","45033","27","0"
"45005","9","7","0"
"45005","45073","7","0"
"45005","45091","18","2"
"45005","45079","47","100"
"45005","45015","0","136"
"45005","45041","16","18"
"45005","45037","9","14"
"45005","45013","3","5"
"45005","45053","6","1"
"45005","45019","21","34"
"45005","45057","10","21"
"45005","45087","0","1"
"45005","45059","6","0"
"45005","45023","0","4"
"45005","13","0","4"
"45005","12","28","0"
"45005","15","0","6"
"45005","54","3","0"
"45005","37","6","7"
"45005","45061","3","6"
"45005","45063","6","6"
"45005","45069","3","0"
"45005","45085","3","0"
"45005","45083","24","9"
"45003","45007","37","96"
"45003","45005","12","33"
"45003","45029","7","20"
"45003","ASI000","205","0"
"45003","54","2","160"
"45003","42","296","92"
"45003","45027","0","56"
"45003","45021","5","23"
"45003","45009","36","11"
"45003","EUR000","120","0"
"45003","NAM000","25","0"
"45003","45049","0","49"
"45003","53","197","144"
"45003","45073","3","5"
"45003","CAR000","22","0"
"45003","45037","293","296"
"45003","72","1","0"
"45003","45077","46","118"
"45003","24","38","62"
"45003","25","41","0"
"45003","26","75","20"
"45003","27","130","18"
"45003","21","30","82"
"45003","22","68","44"
"45003","23","73","0"
"45003","47","88","605"
"45003","44","26","0"
"45003","28","13","16"
"45003","29","36","116"
"45003","40","31","33"
"45003","41","11","0"
