"placeA_FIPS","placeB_FIPS","BtoA","AtoB"
"36113","54","0","8"
"36113","42","101","53"
"36113","NAM000","19","0"
"36113","CAR000","22","0"
"36113","24","23","0"
"36113","25","18","77"
"36113","26","30","12"
"36113","27","11","0"
"36113","21","3","0"
"36113","48","11","108"
"36113","23","9","0"
"36113","47","0","22"
"36113","44","0","5"
"36113","45","0","59"
"36113","28","0","37"
"36113","29","0","11"
"36113","40","12","7"
"36113","SAM000","54","0"
"36113","4","45","9"
"36113","6","39","0"
"36113","9","11","0"
"36113","8","24","30"
"36113","39","15","130"
"36113","38","3","3"
"36113","ASI000","96","0"
"36113","51","44","37"
"36113","13","9","14"
"36113","12","157","157"
"36113","EUR000","28","0"
"36113","17","26","16"
"36113","19","27","0"
"36113","18","10","18"
"36113","37","149","43"
"36113","50","207","80"
"36113","35","0","8"
"36113","34","24","0"
"36113","33","57","8"
"36113","36119","9","107"
"36113","32","7","19"
"36113","36115","669","763"
"36089","56","100","0"
"36089","54","16","8"
"36089","42","156","70"
"36089","48","315","150"
"36089","NAM000","145","0"
"36089","49","13","0"
"36089","53","37","12"
"36089","24","13","0"
"36089","25","168","86"
"36089","26","8","9"
"36089","27","0","33"
"36089","20","23","0"
"36089","21","63","13"
"36089","22","3","17"
"36089","23","29","77"
"36089","46","7","0"
"36089","47","30","71"
"36089","44","0","12"
"36089","45","64","62"
"36089","28","0","48"
"36089","29","0","105"
"36089","41","99","0"
"36089","1","0","13"
"36089","2","18","14"
"36089","4","14","15"
"36089","6","64","92"
"36089","9","121","50"
"36089","8","50","87"
"36089","36103","105","0"
"36089","36105","27","4"
"36089","36107","54","0"
"36089","51","188","88"
"36089","OCE000","17","0"
"36089","EUR000","98","0"
"36089","CAM000","61","0"
"36089","39","56","19"
"36089","36101","36","18"
"36089","ASI000","133","0"
"36089","36099","44","45"
"36089","AFR000","22","0"
"36089","36097","8","12"
"36089","36123","33","0"
"36089","36095","0","6"
"36089","36093","73","80"
"36089","36091","119","24"
"36089","10","0","26"
"36089","13","97","15"
"36089","12","166","282"
"36089","15","6","30"
"36089","36121","17","16"
"36089","17","39","17"
"36089","36109","27","11"
"36089","19","12","8"
"36089","18","68","5"
"36089","31","0","9"
"36089","30","0","15"
"36089","37","38","102"
"36089","50","159","86"
"36089","35","7","41"
"36089","34","62","31"
"36089","33","84","4"
"36089","55","0","13"
"36089","36119","170","0"
"36089","32","38","0"
"36089","36113","15","12"
"36089","36111","95","38"
"36089","36117","8","0"
"36089","36115","36","30"
"36081","56","41","21"
"36081","53","79","233"
"36081","54","91","19"
"36081","CAM000","2283","0"
"36081","42","1450","2689"
"36081","48","619","1822"
"36081","36089","225","208"
"36081","NAM000","194","0"
"36081","49","23","118"
"36081","CAR000","2732","0"
"36081","36083","88","139"
"36081","36085","931","760"
"36081","36087","381","333"
"36081","24","482","1385"
"36081","25","740","1183"
"36081","26","464","293"
"36081","27","50","149"
"36081","20","36","21"
"36081","21","67","129"
"36081","22","25","133"
"36081","23","55","154"
"36081","46","33","21"
"36081","47","55","231"
"36081","44","139","260"
"36081","45","429","527"
"36081","28","17","29"
"36081","29","148","149"
"36081","40","8","230"
"36081","41","149","64"
"36081","1","33","201"
"36081","SAM000","2855","0"
"36081","2","584","0"
"36081","5","17","198"
"36081","4","152","702"
"36081","6","1444","2310"
"36081","9","879","1296"
"36081","8","235","296"
"36081","36103","2664","3202"
"36081","36105","221","332"
"36081","ISL000","123","0"
"36081","36107","31","0"
"36081","51","507","1732"
"36081","OCE000","109","0"
"36081","EUR000","2047","0"
"36081","36109","119","160"
"36081","ASI000","12107","0"
"36081","39","370","651"
"36081","36101","8","221"
"36081","38","19","0"
"36081","72","604","190"
"36081","36099","0","95"
"36081","AFR000","705","0"
"36081","36097","0","9"
"36081","36095","0","48"
"36081","36093","103","332"
"36081","36091","25","78"
"36081","11","171","96"
"36081","10","44","189"
"36081","13","804","1597"
"36081","12","3777","5508"
"36081","15","55","199"
"36081","36121","1","14"
"36081","17","509","731"
"36081","16","0","23"
"36081","19","0","129"
"36081","18","148","104"
"36081","31","31","77"
"36081","30","35","1"
"36081","37","717","1517"
"36081","50","24","55"
"36081","35","58","31"
"36081","34","3999","6745"
"36081","33","62","108"
"36081","55","124","114"
"36081","36119","839","1901"
"36081","32","226","201"
"36081","36113","0","12"
"36081","36111","118","223"
"36081","36117","1","18"
"36081","36115","20","145"
"36083","ASI000","269","0"
"36083","42","185","140"
"36083","36089","54","31"
"36083","NAM000","15","0"
"36083","53","72","90"
"36083","CAR000","11","0"
"36083","36085","0","139"
"36083","36087","22","93"
"36083","24","106","106"
"36083","25","434","289"
"36083","26","21","30"
"36083","27","89","2"
"36083","22","22","19"
"36083","23","29","10"
"36083","46","9","0"
"36083","47","5","18"
"36083","44","57","62"
"36083","45","287","11"
"36083","28","0","9"
"36083","29","2","9"
"36083","40","0","11"
"36083","41","74","13"
"36083","1","0","2"
"36083","SAM000","17","0"
"36083","2","0","7"
"36083","5","10","0"
"36083","4","12","81"
"36083","6","221","73"
"36083","9","87","271"
"36083","8","54","36"
"36083","36103","72","67"
"36083","36105","143","0"
"36083","EUR000","64","0"
"36083","36109","36","67"
"36083","CAM000","9","0"
"36083","39","54","64"
"36083","72","12","0"
"36083","36099","23","5"
"36083","36095","115","8"
"36083","36093","385","160"
"36083","36091","832","541"
"36083","51","228","66"
"36083","13","150","77"
"36083","12","154","208"
"36083","15","0","5"
"36083","48","150","112"
"36083","17","71","14"
"36083","16","17","0"
"36083","19","0","130"
"36083","18","12","0"
"36083","31","0","21"
"36083","49","11","27"
"36083","37","136","161"
"36083","50","66","282"
"36083","35","9","5"
"36083","34","260","70"
"36083","33","96","54"
"36083","55","28","42"
"36083","36119","142","40"
"36083","36113","80","29"
"36083","36111","179","15"
"36083","36117","16","0"
"36083","36115","256","222"
"36085","ASI000","507","0"
"36085","54","12","27"
"36085","51","82","192"
"36085","48","34","315"
"36085","36089","12","68"
"36085","NAM000","92","0"
"36085","53","6","91"
"36085","CAR000","81","0"
"36085","36087","3","64"
"36085","24","141","211"
"36085","25","72","82"
"36085","26","0","48"
"36085","27","11","19"
"36085","20","5","0"
"36085","22","0","19"
"36085","23","5","96"
"36085","47","0","65"
"36085","44","2","74"
"36085","45","10","130"
"36085","42","291","884"
"36085","29","7","26"
"36085","40","10","0"
"36085","41","0","20"
"36085","1","0","4"
"36085","SAM000","58","0"
"36085","4","0","80"
"36085","6","91","158"
"36085","9","10","156"
"36085","8","23","0"
"36085","36103","195","192"
"36085","36105","15","62"
"36085","ISL000","4","0"
"36085","EUR000","216","0"
"36085","CAM000","82","0"
"36085","39","67","11"
"36085","36101","0","6"
"36085","72","24","37"
"36085","36099","6","1"
"36085","AFR000","57","0"
"36085","36097","14","1"
"36085","36123","0","4"
"36085","36095","0","2"
"36085","36093","0","151"
"36085","36091","10","0"
"36085","11","13","32"
"36085","10","12","203"
"36085","13","54","292"
"36085","12","792","995"
"36085","15","34","26"
"36085","36121","12","30"
"36085","17","22","62"
"36085","36109","23","49"
"36085","19","45","162"
"36085","18","13","53"
"36085","49","0","64"
"36085","37","65","368"
"36085","50","0","5"
"36085","35","9","0"
"36085","34","1025","2739"
"36085","33","5","13"
"36085","55","0","1"
"36085","36119","63","316"
"36085","32","7","77"
"36085","36111","16","105"
"36085","36117","0","8"
"36085","36115","0","31"
"36117","54","15","28"
"36117","42","26","17"
"36117","48","73","10"
"36117","NAM000","10","0"
"36117","CAR000","9","0"
"36117","24","3","10"
"36117","25","29","46"
"36117","EUR000","21","0"
"36117","27","0","10"
"36117","36123","0","3"
"36117","21","110","18"
"36117","22","10","0"
"36117","SAM000","44","0"
"36117","47","24","0"
"36117","44","3","0"
"36117","45","79","0"
"36117","28","15","0"
"36117","40","0","65"
"36117","2","2","6"
"36117","4","51","0"
"36117","6","44","94"
"36117","9","0","20"
"36117","8","9","24"
"36117","CAM000","20","0"
"36117","39","13","100"
"36117","ASI000","80","0"
"36117","51","110","34"
"36117","13","43","22"
"36117","12","112","251"
"36117","15","0","4"
"36117","36121","11","16"
"36117","17","9","0"
"36117","55","0","48"
"36117","19","5","0"
"36117","18","0","31"
"36117","56","12","9"
"36117","37","26","0"
"36117","50","88","0"
"36117","35","3","0"
"36117","34","7","0"
"36117","33","0","19"
"36117","36119","21","34"
"36117","32","5","0"
"36087","54","0","17"
"36087","42","158","600"
"36087","36089","0","45"
"36087","NAM000","120","0"
"36087","CAR000","400","0"
"36087","24","35","76"
"36087","25","161","348"
"36087","26","16","40"
"36087","27","18","29"
"36087","20","0","27"
"36087","36121","15","0"
"36087","23","0","16"
"36087","47","17","42"
"36087","44","0","67"
"36087","45","59","30"
"36087","28","14","56"
"36087","29","4","0"
"36087","SAM000","97","0"
"36087","36109","0","115"
"36087","2","9","0"
"36087","5","0","19"
"36087","4","360","50"
"36087","6","81","211"
"36087","9","86","145"
"36087","8","49","29"
"36087","36103","32","167"
"36087","36105","109","109"
"36087","51","19","144"
"36087","OCE000","21","0"
"36087","EUR000","195","0"
"36087","CAM000","344","0"
"36087","39","0","136"
"36087","72","21","0"
"36087","AFR000","20","0"
"36087","36123","0","3"
"36087","36095","4","23"
"36087","36093","0","23"
"36087","36091","0","96"
"36087","11","0","33"
"36087","10","0","164"
"36087","13","60","147"
"36087","12","199","789"
"36087","15","15","9"
"36087","48","6","335"
"36087","17","95","52"
"36087","16","0","59"
"36087","19","28","0"
"36087","18","43","0"
"36087","49","12","28"
"36087","37","44","466"
"36087","50","0","23"
"36087","53","0","50"
"36087","34","1074","1690"
"36087","33","0","11"
"36087","55","0","23"
"36087","36119","560","539"
"36087","32","27","9"
"36087","36111","55","115"
"36087","ASI000","592","0"
"36001","CAR000","77","0"
"36001","15","26","28"
"36001","24","42","138"
"36001","25","845","867"
"36001","26","0","95"
"36001","27","57","81"
"36001","21","33","20"
"36001","22","16","12"
"36001","23","0","37"
"36001","29","40","17"
"36001","36109","74","71"
"36001","36067","293","338"
"36001","36065","155","148"
"36001","4","18","188"
"36001","36061","396","220"
"36001","36101","4","0"
"36001","8","21","124"
"36001","36103","693","155"
"36001","36105","18","72"
"36001","36107","5","0"
"36001","36069","70","99"
"36001","11","145","55"
"36001","13","102","83"
"36001","2","33","11"
"36001","17","104","86"
"36001","55","51","25"
"36001","54","7","69"
"36001","51","262","322"
"36001","50","57","116"
"36001","53","55","96"
"36001","36053","113","101"
"36001","36051","0","145"
"36001","36119","632","110"
"36001","36057","95","109"
"36001","36055","183","236"
"36001","36113","182","13"
"36001","36059","684","172"
"36001","36111","225","232"
"36001","36117","25","16"
"36001","36115","97","25"
"36001","CAM000","41","0"
"36001","36121","0","15"
"36001","36045","34","44"
"36001","36047","507","90"
"36001","36043","150","0"
"36001","EUR000","289","0"
"36001","39","86","126"
"36001","38","0","35"
"36001","33","135","71"
"36001","32","33","34"
"36001","37","150","206"
"36001","34","502","296"
"36001","36039","429","214"
"36001","36031","74","96"
"36001","36033","92","252"
"36001","36035","88","99"
"36001","36063","16","10"
"36001","36037","32","0"
"36001","NAM000","88","0"
"36001","36029","210","356"
"36001","6","371","562"
"36001","36023","202","36"
"36001","36021","196","234"
"36001","36027","346","196"
"36001","36025","16","75"
"36001","ASI000","1032","0"
"36001","36099","11","33"
"36001","AFR000","402","0"
"36001","36097","14","20"
"36001","36095","194","116"
"36001","36093","1031","1538"
"36001","36091","1222","1411"
"36001","36017","35","14"
"36001","10","268","47"
"36001","36015","48","1"
"36001","12","629","570"
"36001","36013","13","29"
"36001","36011","0","22"
"36001","19","41","0"
"36001","18","23","48"
"36001","36019","166","91"
"36001","36089","74","223"
"36001","36081","223","278"
"36001","36083","2661","3578"
"36001","36085","150","187"
"36001","36087","123","81"
"36001","36003","0","25"
"36001","36005","609","252"
"36001","48","231","229"
"36001","36007","135","169"
"36001","46","21","0"
"36001","36009","37","0"
"36001","44","57","79"
"36001","45","108","321"
"36001","42","271","330"
"36001","40","82","0"
"36001","41","0","71"
"36001","1","6","15"
"36001","5","31","0"
"36001","9","275","353"
"36001","72","175","50"
"36001","49","0","10"
"36001","36075","53","87"
"36001","36077","171","130"
"36001","36071","437","87"
"36001","36073","12","12"
"36001","47","45","51"
"36001","36079","32","72"
"36003","24","19","0"
"36003","25","15","71"
"36003","EUR000","48","0"
