"placeA_FIPS","placeB_FIPS","BtoA","AtoB"
"18099","18177","14","7"
"18099","18179","2","0"
"18099","36","18","0"
"18099","18117","23","0"
"18099","18135","22","0"
"18099","18151","0","1"
"18099","18157","17","65"
"18099","24","7","0"
"18099","25","0","17"
"18099","26","42","74"
"18099","27","3","0"
"18099","21","6","28"
"18099","48","94","40"
"18099","SAM000","8","0"
"18099","47","25","91"
"18099","42","0","9"
"18099","18105","7","93"
"18099","29","3","0"
"18099","40","51","0"
"18099","18131","30","106"
"18099","4","19","0"
"18099","6","9","15"
"18099","8","31","22"
"18099","18163","0","50"
"18099","CAM000","13","0"
"18099","18181","26","7"
"18099","EUR000","7","0"
"18099","18169","0","50"
"18099","18123","1","0"
"18099","18121","5","0"
"18099","18127","4","86"
"18099","18183","0","30"
"18099","18103","26","10"
"18099","18141","222","412"
"18099","11","19","0"
"18099","18149","144","194"
"18099","39","10","75"
"18099","12","37","48"
"18099","17","32","271"
"18099","19","0","72"
"18099","32","0","16"
"18099","51","0","10"
"18099","18107","10","0"
"18099","53","20","0"
"18099","33","5","8"
"18099","18101","0","16"
"18099","ASI000","86","0"
"18093","18099","0","15"
"18093","18175","9","39"
"18093","18097","156","40"
"18093","18095","33","0"
"18093","18117","178","215"
"18093","18139","0","3"
"18093","CAR000","3","0"
"18093","18153","0","5"
"18093","18157","7","9"
"18093","26","0","54"
"18093","21","0","4"
"18093","48","22","70"
"18093","47","9","0"
"18093","45","0","42"
"18093","42","0","18"
"18093","29","17","6"
"18093","40","0","16"
"18093","1","0","34"
"18093","5","1","0"
"18093","4","8","16"
"18093","6","16","128"
"18093","9","12","0"
"18093","8","14","0"
"18093","18167","0","11"
"18093","18163","0","71"
"18093","39","0","17"
"18093","18105","603","606"
"18093","18121","0","13"
"18093","18101","26","0"
"18093","ASI000","39","0"
"18093","18103","0","10"
"18093","18141","0","6"
"18093","18129","0","5"
"18093","18109","55","159"
"18093","18147","32","0"
"18093","18123","0","7"
"18093","13","0","54"
"18093","12","24","83"
"18093","17","10","13"
"18093","55","0","15"
"18093","51","11","0"
"18093","36","12","6"
"18093","35","0","25"
"18093","SAM000","16","0"
"18093","18113","7","0"
"18091","18099","23","20"
"18091","18175","0","1"
"18091","ASI000","32","0"
"18091","18177","0","2"
"18091","18179","15","7"
"18091","18097","225","353"
"18091","18095","75","121"
"18091","36","55","57"
"18091","18117","0","18"
"18091","18159","11","0"
"18091","18113","108","29"
"18091","18111","12","0"
"18091","18153","81","63"
"18091","18151","40","46"
"18091","18131","29","0"
"18091","18133","89","9"
"18091","24","8","0"
"18091","CAM000","20","0"
"18091","26","247","251"
"18091","27","0","11"
"18091","20","0","78"
"18091","21","176","14"
"18091","22","44","0"
"18091","23","0","4"
"18091","46","0","7"
"18091","18145","16","6"
"18091","45","17","28"
"18091","42","31","11"
"18091","29","30","66"
"18091","40","0","4"
"18091","18157","64","98"
"18091","SAM000","6","0"
"18091","4","87","39"
"18091","6","38","49"
"18091","8","6","96"
"18091","51","87","0"
"18091","18167","19","8"
"18091","18165","13","0"
"18091","OCE000","8","0"
"18091","18163","11","35"
"18091","18181","51","20"
"18091","39","47","21"
"18091","18169","15","21"
"18091","18123","7","0"
"18091","18121","9","0"
"18091","18127","898","626"
"18091","50","0","6"
"18091","18103","107","84"
"18091","18141","756","446"
"18091","18143","11","0"
"18091","18109","16","15"
"18091","18147","0","2"
"18091","11","27","0"
