"placeA_FIPS","placeB_FIPS","BtoA","AtoB"
"35049","56","33","8"
"35049","54","16","0"
"35049","42","54","52"
"35049","35061","44","246"
"35049","50","8","2"
"35049","NAM000","20","0"
"35049","49","42","23"
"35049","24","125","13"
"35049","25","24","80"
"35049","26","120","92"
"35049","27","2","5"
"35049","20","0","78"
"35049","21","0","5"
"35049","22","59","39"
"35049","23","0","3"
"35049","46","0","9"
"35049","47","3","29"
"35049","45","20","41"
"35049","28","30","22"
"35049","29","66","25"
"35049","40","16","144"
"35049","41","293","69"
"35049","1","73","32"
"35049","SAM000","21","0"
"35049","2","14","0"
"35049","5","9","0"
"35049","4","430","453"
"35049","6","711","541"
"35049","9","20","98"
"35049","8","408","667"
"35049","51","174","102"
"35049","39","66","53"
"35049","35059","20","33"
"35049","35057","13","204"
"35049","35055","254","23"
"35049","35053","1","0"
"35049","35051","26","0"
"35049","38","0","5"
"35049","72","89","0"
"35049","AFR000","76","0"
"35049","CAM000","574","0"
"35049","11","9","15"
"35049","10","10","0"
"35049","13","116","111"
"35049","12","195","195"
"35049","15","19","83"
"35049","48","816","522"
"35049","17","155","47"
"35049","16","34","54"
"35049","19","13","15"
"35049","18","125","0"
"35049","31","72","4"
"35049","30","16","70"
"35049","37","85","94"
"35049","36","172","234"
"35049","53","130","175"
"35049","34","20","0"
"35049","33","43","51"
"35049","55","33","113"
"35049","EUR000","195","0"
"35049","32","60","169"
"35049","ASI000","119","0"
"35061","56","0","28"
"35061","49","60","134"
"35061","CAR000","1","0"
"35061","24","64","0"
"35061","CAM000","62","0"
"35061","26","0","43"
"35061","27","0","10"
"35061","21","0","168"
"35061","22","0","11"
"35061","23","15","0"
"35061","46","28","12"
"35061","42","76","18"
"35061","40","10","20"
"35061","SAM000","10","0"
"35061","2","0","3"
"35061","4","59","112"
"35061","6","42","74"
"35061","8","206","161"
"35061","EUR000","42","0"
"35061","39","34","0"
"35061","ASI000","11","0"
"35061","13","0","51"
"35061","12","78","45"
"35061","15","0","18"
"35061","48","35","164"
"35061","17","2","108"
"35061","16","1","142"
"35061","19","0","8"
"35061","18","25","0"
"35061","30","12","0"
"35061","51","0","22"
"35061","36","31","34"
"35061","53","0","53"
"35061","34","32","0"
"35061","55","9","0"
"35061","32","100","45"
"35045","35049","29","126"
"35045","35047","0","24"
"35045","50","16","6"
"35045","NAM000","5","0"
"35045","24","50","0"
"35045","25","47","0"
"35045","EUR000","70","0"
"35045","27","49","107"
"35045","20","4","18"
"35045","22","0","46"
"35045","49","277","182"
"35045","46","42","17"
"35045","47","70","0"
"35045","45","10","0"
"35045","42","39","28"
"35045","29","5","82"
"35045","40","1","96"
"35045","41","20","45"
"35045","2","57","57"
"35045","5","30","0"
"35045","4","818","388"
"35045","6","325","140"
"35045","8","282","482"
"35045","35061","2","42"
"35045","35059","0","14"
"35045","35057","9","15"
"35045","35055","184","22"
"35045","35053","32","0"
"35045","38","2","38"
"35045","ASI000","258","0"
"35045","AFR000","16","0"
"35045","CAM000","124","0"
"35045","13","0","19"
"35045","12","126","14"
"35045","15","8","0"
"35045","48","480","878"
"35045","16","0","11"
"35045","19","0","38"
"35045","18","0","17"
"35045","31","3","0"
"35045","56","20","14"
"35045","37","10","31"
"35045","36","44","18"
"35045","53","79","0"
"35045","55","43","12"
"35045","32","238","159"
"35047","56","0","24"
"35047","35049","132","139"
"35047","35061","51","30"
"35047","25","0","35"
"35047","26","7","0"
"35047","27","0","22"
"35047","20","23","0"
"35047","48","42","105"
"35047","49","12","21"
"35047","47","9","0"
"35047","40","3","11"
"35047","41","0","11"
"35047","2","13","0"
"35047","5","0","4"
"35047","4","57","32"
"35047","6","150","107"
"35047","8","22","113"
"35047","CAM000","21","0"
"35047","35057","33","30"
"35047","35055","25","0"
"35047","35053","0","59"
"35047","35051","0","79"
"35047","ASI000","41","0"
"35047","AFR000","15","0"
"35047","11","0","62"
"35047","13","0","5"
"35047","38","3","0"
"35047","17","0","6"
"35047","16","11","0"
"35047","55","30","0"
"35047","32","24","97"
"35047","31","6","33"
