"placeA_FIPS","placeB_FIPS","BtoA","AtoB"
"17009","17027","0","8"
"17009","17101","0","9"
"17009","17103","6","14"
"17009","17105","63","7"
"17009","17021","0","2"
"17009","17107","0","8"
"17009","17109","0","41"
"17009","17167","11","0"
"17009","17067","24","5"
"17009","17149","27","0"
"17009","17043","21","0"
"17009","17161","6","0"
"17009","17145","21","39"
"17009","17121","9","0"
"17009","17143","6","4"
"17009","25","53","0"
"17009","48","9","0"
"17009","17179","6","0"
"17009","45","0","9"
"17009","29","0","35"
"17009","17169","6","0"
"17009","17091","15","0"
"17009","17097","9","0"
"17009","17095","29","8"
"17009","17197","75","23"
"17009","8","0","12"
"17009","17099","6","23"
"17009","17191","9","0"
"17009","17031","362","0"
"17009","17115","28","0"
"17009","17033","0","14"
"17009","17113","6","0"
"17009","17037","9","0"
"17009","6","11","0"
"17009","17057","21","14"
"17009","17019","14","7"
"17009","17157","46","23"
"17009","72","20","0"
"17009","17131","9","0"
"17009","17077","0","41"
"17009","17135","9","0"
"17009","17017","10","2"
"17009","17137","6","37"
"17009","15","0","21"
"17009","55","0","4"
"17009","51","0","19"
"17009","36","4","0"
"17009","17189","14","0"
"17009","17089","18","0"
"17009","17171","0","6"
"17009","17183","6","0"
"17167","ASI000","229","0"
"17167","17203","0","43"
"17167","42","10","103"
"17167","17201","39","17"
"17167","NAM000","65","0"
"17167","53","20","74"
"17167","CAR000","8","0"
"17167","17169","0","12"
"17167","24","19","0"
"17167","26","121","73"
"17167","27","0","48"
"17167","20","16","3"
"17167","21","126","43"
"17167","22","124","49"
"17167","SAM000","21","0"
"17167","46","0","11"
"17167","47","33","159"
"17167","45","155","23"
"17167","28","0","53"
"17167","29","561","913"
"17167","40","28","16"
"17167","41","162","36"
"17167","1","48","59"
"17167","2","15","0"
"17167","5","38","313"
"17167","4","143","90"
"17167","17199","42","94"
"17167","6","288","195"
"17167","9","0","24"
"17167","8","10","18"
"17167","17195","10","11"
"17167","17193","0","57"
"17167","51","58","3"
"17167","EUR000","45","0"
"17167","39","234","45"
"17167","17175","0","1"
"17167","17197","57","27"
"17167","17177","10","0"
"17167","38","0","8"
"17167","17171","0","8"
"17167","72","452","0"
"17167","17173","23","56"
"17167","17179","135","136"
"17167","10","0","34"
"17167","13","62","107"
"17167","12","197","227"
"17167","15","0","18"
"17167","48","214","223"
"17167","55","158","224"
"17167","19","233","108"
"17167","18","95","221"
"17167","31","0","73"
"17167","30","0","60"
"17167","37","90","92"
"17167","36","34","79"
"17167","35","4","157"
"17167","34","26","0"
"17167","33","34","97"
"17167","32","161","0"
"17167","17181","54","11"
"17167","17183","192","126"
"17167","17185","1","0"
"17167","17187","0","8"
"17165","17167","3","61"
"17165","17169","0","8"
"17165","26","0","4"
"17165","21","0","115"
"17165","22","0","29"
"17165","SAM000","1","0"
"17165","42","0","28"
"17165","29","28","52"
"17165","17199","101","241"
"17165","6","1","0"
"17165","17197","6","0"
"17165","8","7","0"
"17165","17193","0","26"
"17165","17191","0","10"
"17165","EUR000","25","0"
"17165","17171","0","6"
"17165","ASI000","4","0"
"17165","17173","0","4"
"17165","17179","0","21"
"17165","13","8","71"
"17165","12","0","11"
"17165","48","8","46"
"17165","19","0","4"
"17165","18","68","10"
"17165","31","1","0"
"17165","51","11","0"
"17165","55","1","0"
"17165","54","26","0"
"17165","17181","0","3"
"17165","17183","33","0"
"17165","17185","119","17"
"17163","56","0","96"
"17163","54","9","0"
"17163","17203","0","12"
"17163","42","247","3"
"17163","17201","34","6"
"17163","17167","37","253"
"17163","17165","0","12"
"17163","49","79","8"
"17163","CAR000","5","0"
"17163","53","213","8"
"17163","24","24","186"
"17163","25","66","0"
"17163","26","240","98"
"17163","27","51","125"
"17163","20","214","184"
"17163","21","34","237"
"17163","22","49","94"
"17163","23","38","0"
"17163","46","47","0"
"17163","47","116","230"
"17163","45","202","31"
"17163","28","140","171"
"17163","29","1714","3057"
"17163","40","109","131"
"17163","41","35","8"
"17163","1","41","48"
"17163","2","23","47"
"17163","5","139","147"
"17163","4","66","184"
"17163","17199","28","15"
"17163","6","418","364"
"17163","9","0","34"
"17163","8","227","191"
"17163","17195","25","0"
"17163","17193","16","2"
"17163","ISL000","51","0"
"17163","17191","5","5"
"17163","51","410","288"
"17163","EUR000","482","0"
"17163","CAM000","14","0"
"17163","39","171","88"
"17163","17197","13","219"
"17163","38","100","12"
"17163","17171","40","6"
"17163","72","5","0"
"17163","AFR000","32","0"
"17163","17179","5","8"
"17163","10","0","33"
"17163","13","255","27"
"17163","12","143","277"
"17163","15","218","51"
"17163","48","780","568"
"17163","16","0","29"
"17163","19","119","196"
"17163","18","178","315"
"17163","31","0","13"
"17163","30","27","0"
"17163","37","177","250"
"17163","36","56","37"
"17163","35","3","203"
"17163","34","64","36"
"17163","17189","12","31"
"17163","55","203","11"
"17163","32","46","112"
"17163","17181","28","0"
"17163","17183","36","5"
"17163","17185","0","4"
"17163","ASI000","675","0"
"17161","54","100","0"
"17161","17203","7","0"
"17161","42","1","37"
"17161","17201","51","5"
"17161","17167","26","268"
"17161","17165","0","14"
"17161","17163","15","51"
"17161","CAR000","9","0"
"17161","24","27","0"
"17161","25","9","0"
"17161","26","55","36"
"17161","27","56","62"
"17161","20","10","0"
"17161","21","0","10"
"17161","22","0","11"
"17161","49","18","43"
"17161","47","45","70"
"17161","44","0","4"
"17161","45","72","98"
"17161","28","0","131"
"17161","29","66","73"
"17161","40","0","8"
"17161","SAM000","13","0"
"17161","1","0","29"
"17161","2","59","3"
"17161","5","15","126"
"17161","4","19","61"
"17161","17199","0","13"
"17161","6","75","57"
"17161","17197","106","113"
"17161","8","87","117"
"17161","17195","178","79"
"17161","51","72","8"
"17161","EUR000","112","0"
"17161","CAM000","31","0"
"17161","39","6","21"
"17161","17177","0","7"
"17161","38","0","1"
"17161","ASI000","632","0"
"17161","AFR000","44","0"
"17161","17179","30","3"
"17161","11","9","0"
"17161","10","0","8"
"17161","13","49","0"
"17161","12","286","109"
"17161","15","39","0"
"17161","48","69","367"
"17161","16","30","0"
"17161","19","1848","2168"
"17161","18","97","100"
"17161","31","0","19"
"17161","37","74","13"
"17161","36","35","27"
"17161","53","36","12"
"17161","34","6","4"
"17161","55","148","180"
"17161","32","0","127"
"17161","17183","22","32"
"17161","17187","36","22"
"17001","17101","1","2"
"17001","17105","0","8"
"17001","17021","0","11"
"17001","17107","0","14"
"17001","17109","21","25"
"17001","17201","3","13"
"17001","17029","4","0"
"17001","17009","23","21"
"17001","17167","106","83"
"17001","17165","0","1"
"17001","17067","85","83"
"17001","17149","65","81"
"17001","17043","1","60"
"17001","17161","2","0"
"17001","17145","0","9"
"17001","17003","0","4"
"17001","17143","0","65"
"17001","17125","0","16"
"17001","25","0","48"
"17001","26","6","8"
"17001","17077","5","62"
"17001","20","33","6"
"17001","21","0","8"
"17001","22","15","50"
"17001","49","5","0"
"17001","17179","0","41"
"17001","44","7","0"
"17001","45","76","0"
"17001","42","13","0"
"17001","29","379","847"
"17001","17169","9","0"
"17001","1","0","238"
"17001","17093","2","0"
"17001","2","5","0"
"17001","5","11","0"
"17001","17097","50","18"
"17001","17199","10","0"
"17001","6","17","67"
"17001","17187","8","0"
"17001","8","10","12"
"17001","17099","0","3"
"17001","17031","108","177"
"17001","17115","0","28"
"17001","17113","90","4"
"17001","17111","1","21"
"17001","ASI000","38","0"
"17001","27","0","27"
"17001","17095","3","40"
"17001","17119","47","59"
"17001","17057","34","30"
"17001","17177","0","7"
"17001","17055","0","5"
"17001","17157","9","0"
"17001","72","11","50"
"17001","17197","3","0"
"17001","17051","8","9"
"17001","17075","0","2"
"17001","38","5","0"
"17001","17011","5","12"
"17001","17135","0","18"
"17001","17071","0","5"
"17001","17137","28","53"
"17001","51","0","20"
"17001","13","9","19"
"17001","12","63","62"
"17001","48","17","137"
"17001","16","24","0"
"17001","19","135","67"
"17001","18","100","104"
"17001","31","0","17"
"17001","56","0","3"
"17001","37","23","7"
"17001","47","0","5"
"17001","35","0","23"
"17001","17081","17","6"
"17001","17189","0","11"
"17001","55","120","186"
"17001","17019","5","23"
"17001","17091","2","0"
"17001","32","12","0"
"17001","17089","0","9"
"17001","17183","20","0"
"17001","17163","195","83"
"17003","17027","6","0"
"17003","17105","0","3"
"17003","17107","0","7"
"17003","17165","3","4"
"17003","17043","12","0"
"17003","17007","4","36"
"17003","26","20","0"
"17003","21","2","11"
"17003","48","0","4"
"17003","47","3","0"
"17003","45","12","0"
"17003","29","239","214"
"17003","40","0","25"
"17003","5","2","0"
"17003","17199","0","15"
"17003","6","10","0"
"17003","17117","0","3"
"17003","17031","40","13"
"17003","17037","8","0"
"17003","17153","30","19"
"17003","17057","7","0"
"17003","17019","6","17"
"17003","17157","0","15"
"17003","17079","0","8"
"17003","17051","8","0"
"17003","17077","0","17"
"17003","17135","0","11"
"17003","13","0","8"
"17003","12","0","12"
"17003","18","16","0"
"17003","51","26","0"
"17003","53","4","0"
"17003","17083","0","1"
"17003","17055","5","0"
"17003","17087","10","5"
"17003","17089","3","0"
"17003","17181","16","97"
"17005","17027","27","8"
"17005","17101","3","0"
"17005","17107","0","13"
"17005","17201","13","21"
"17005","17041","2","0"
"17005","17163","150","15"
"17005","17043","12","10"
"17005","17145","0","13"
"17005","17121","0","3"
"17005","17007","0","24"
"17005","17125","0","15"
"17005","26","0","41"
"17005","27","0","4"
"17005","20","4","11"
"17005","21","0","32"
"17005","48","13","51"
"17005","17179","19","0"
"17005","45","4","82"
"17005","29","125","32"
"17005","41","0","10"
"17005","1","0","16"
"17005","4","0","17"
"17005","17199","0","16"
"17005","17095","4","0"
"17005","17197","2","0"
"17005","8","42","8"
"17005","17143","14","0"
"17005","17117","19","0"
"17005","17031","10","10"
"17005","17115","48","0"
"17005","17113","0","8"
"17005","17035","3","0"
"17005","6","37","0"
"17005","39","53","14"
"17005","17119","336","398"
"17005","17057","0","6"
"17005","17019","30","25"
"17005","47","58","0"
"17005","ASI000","11","0"
"17005","17051","1","23"
"17005","17135","55","247"
"17005","17137","0","29"
"17005","13","0","11"
"17005","12","11","6"
"17005","16","38","0"
"17005","19","0","71"
"17005","18","23","112"
"17005","51","49","0"
"17005","36","0","10"
"17005","17081","33","0"
"17005","33","0","2"
"17005","55","7","18"
"17005","17087","12","0"
"17005","32","8","0"
"17005","17089","13","50"
"17005","17183","26","0"
"17007","17021","63","0"
"17007","17109","0","12"
"17007","17201","613","1109"
"17007","17167","37","0"
"17007","17061","7","0"
"17007","17067","46","0"
"17007","53","111","0"
"17007","17043","127","41"
"17007","17161","0","16"
"17007","CAR000","23","0"
"17007","17147","33","0"
"17007","17141","0","15"
"17007","17143","8","6"
"17007","CAM000","25","0"
"17007","26","0","7"
"17007","27","0","85"
"17007","20","3","6"
"17007","48","31","208"
"17007","47","24","39"
"17007","29","42","98"
"17007","5","0","11"
"17007","4","0","62"
"17007","17095","0","5"
"17007","17197","0","7"
"17007","8","0","38"
"17007","17099","0","29"
"17007","17097","0","44"
"17007","17031","244","83"
"17007","17033","0","4"
"17007","17111","344","36"
"17007","17037","68","153"
"17007","6","27","0"
"17007","39","69","7"
"17007","17119","0","6"
"17007","17057","0","6"
"17007","17177","0","15"
"17007","17019","42","0"
"17007","ASI000","19","0"
"17007","AFR000","19","0"
"17007","17011","5","0"
"17007","13","0","10"
"17007","12","0","47"
"17007","EUR000","17","0"
"17007","16","0","14"
"17007","19","18","54"
"17007","18","0","8"
"17007","30","58","0"
"17007","37","18","0"
"17007","36","22","0"
"17007","35","0","18"
"17007","55","57","237"
"17007","17089","68","269"
"17169","26","0","3"
"17169","12","9","14"
"17169","21","23","0"
"17169","39","0","9"
"17169","17171","0","8"
"17169","ASI000","17","0"
"17169","17199","7","0"
"17169","17197","0","5"
"17169","17179","20","14"
"17153","26","1","0"
"17153","27","3","0"
"17153","17199","7","0"
"17153","48","0","10"
"17153","19","0","10"
"17153","32","2","0"
"17153","17201","7","0"
"17153","37","0","28"
"17153","29","13","65"
"17153","17177","0","23"
"17153","17165","1","0"
"17153","17157","0","4"
"17153","4","0","90"
"17153","17155","0","1"
"17153","47","1","2"
"17153","17197","4","0"
"17153","17181","0","1"
"17153","21","62","64"
"17151","EUR000","12","0"
"17151","12","6","0"
"17151","21","3","0"
"17151","48","66","57"
"17151","32","6","0"
"17151","28","22","0"
"17151","17165","11","0"
"17151","17199","0","12"
