"placeA_FIPS","placeB_FIPS","BtoA","AtoB"
"50017","51","32","18"
"50017","AFR000","4","0"
"50017","53","16","0"
"50017","24","0","23"
"50017","25","26","52"
"50017","EUR000","13","0"
"50017","27","0","4"
"50017","21","8","0"
"50017","48","7","15"
"50017","23","26","23"
"50017","44","0","138"
"50017","45","3","53"
"50017","42","8","11"
"50017","40","1","0"
"50017","SAM000","6","0"
"50017","2","0","4"
"50017","6","3","0"
"50017","9","4","41"
"50017","8","55","6"
"50017","50021","3","102"
"50017","50027","271","302"
"50017","50025","20","18"
"50017","39","7","0"
"50017","ASI000","12","0"
"50017","50023","325","218"
"50017","11","13","15"
"50017","13","10","0"
"50017","12","27","127"
"50017","33","177","400"
"50017","18","15","0"
"50017","37","2","0"
"50017","36","22","201"
"50017","50019","8","72"
"50017","34","13","0"
"50017","55","0","2"
"50017","54","0","9"
"50001","50015","173","3"
"50001","56","8","0"
"50001","42","66","17"
"50001","51","39","84"
"50001","AFR000","3","0"
"50001","NAM000","52","0"
"50001","49","0","22"
"50001","50019","53","0"
"50001","53","16","8"
"50001","24","19","79"
"50001","25","198","41"
"50001","26","9","0"
"50001","27","4","0"
"50001","21","16","0"
"50001","22","5","0"
"50001","23","75","33"
"50001","47","27","0"
"50001","44","6","0"
"50001","45","0","10"
"50001","28","6","0"
"50001","29","4","77"
"50001","40","2","14"
"50001","41","10","0"
"50001","1","0","6"
"50001","SAM000","36","0"
"50001","2","1","57"
"50001","4","34","0"
"50001","6","92","141"
"50001","9","44","19"
"50001","8","16","0"
"50001","50021","169","175"
"50001","50027","26","50"
"50001","50025","23","43"
"50001","50017","10","27"
"50001","OCE000","36","0"
"50001","EUR000","135","0"
"50001","CAM000","53","0"
"50001","39","8","17"
"50001","50003","7","77"
"50001","ASI000","106","0"
"50001","50023","32","41"
"50001","50013","30","16"
"50001","50005","3","92"
"50001","11","14","95"
"50001","10","11","0"
"50001","13","27","0"
"50001","12","34","174"
"50001","15","9","0"
"50001","48","55","21"
"50001","17","25","4"
"50001","16","1","0"
"50001","33","86","146"
"50001","18","0","24"
"50001","30","12","10"
"50001","37","61","11"
"50001","36","356","153"
"50001","35","0","55"
"50001","34","48","0"
"50001","55","29","6"
"50001","50007","364","408"
"50001","54","6","5"
"50001","50011","50","101"
"50015","51","7","34"
"50015","AFR000","39","0"
"50015","NAM000","68","0"
"50015","25","91","65"
"50015","26","24","25"
"50015","EUR000","7","0"
"50015","48","19","0"
"50015","23","21","0"
"50015","46","50","0"
"50015","44","0","23"
"50015","45","0","27"
"50015","29","11","0"
"50015","2","122","0"
"50015","6","35","14"
"50015","9","28","76"
"50015","8","25","54"
"50015","50021","58","91"
"50015","50027","10","0"
"50015","50025","18","28"
"50015","50017","15","26"
"50015","OCE000","9","0"
"50015","39","0","10"
"50015","ASI000","2","0"
"50015","50023","105","167"
"50015","11","9","0"
"50015","13","4","0"
"50015","12","26","23"
"50015","17","121","0"
"50015","55","11","0"
"50015","19","7","0"
"50015","18","0","27"
"50015","37","2","14"
"50015","36","127","68"
"50015","50019","83","164"
"50015","34","8","0"
"50015","33","174","32"
"50003","50015","21","16"
"50003","56","16","0"
"50003","51","0","10"
"50003","49","15","0"
"50003","CAR000","18","0"
"50003","50019","0","17"
"50003","53","11","0"
"50003","24","11","15"
"50003","25","78","158"
"50003","26","0","11"
"50003","EUR000","12","0"
"50003","21","3","20"
"50003","48","19","0"
"50003","23","16","21"
"50003","46","11","0"
"50003","47","57","0"
"50003","44","37","13"
"50003","45","1","93"
"50003","42","53","21"
"50003","29","2","0"
"50003","40","0","23"
"50003","41","22","17"
"50003","5","3","0"
"50003","4","0","18"
"50003","6","133","115"
"50003","9","107","18"
"50003","8","8","20"
"50003","50021","73","159"
"50003","50027","15","35"
"50003","50025","281","118"
"50003","OCE000","4","0"
"50003","39","0","5"
"50003","ASI000","12","0"
"50003","50023","4","53"
"50003","50005","0","29"
"50003","50017","2","8"
"50003","13","6","0"
"50003","12","49","21"
"50003","50009","13","0"
"50003","16","28","0"
"50003","33","27","33"
"50003","18","0","9"
"50003","30","25","0"
"50003","37","0","24"
"50003","36","629","443"
"50003","35","0","22"
"50003","34","48","0"
"50003","SAM000","10","0"
"50003","50007","10","64"
"50003","32","31","0"
"50013","50017","4","0"
"50013","25","27","21"
"50013","50015","7","15"
"50013","12","3","0"
"50013","EUR000","1","0"
"50013","33","0","5"
"50013","42","0","24"
"50013","51","4","0"
"50013","37","6","7"
"50013","36","77","113"
"50013","53","0","11"
"50013","47","13","0"
"50013","NAM000","9","0"
"50013","6","0","13"
"50013","8","25","0"
"50013","50021","4","0"
"50013","50023","10","5"
"50013","50025","22","0"
"50005","NAM000","18","0"
"50005","CAR000","7","0"
"50005","24","29","34"
"50005","25","129","0"
"50005","EUR000","6","0"
"50005","48","21","0"
"50005","23","90","10"
"50005","50009","69","37"
"50005","44","12","0"
"50005","45","4","11"
"50005","42","0","2"
"50005","29","0","89"
"50005","40","4","4"
"50005","2","19","0"
"50005","4","6","0"
"50005","6","25","0"
"50005","9","74","10"
"50005","8","10","9"
"50005","50021","6","19"
"50005","50027","26","13"
"50005","50025","28","10"
"50005","50015","67","90"
"50005","ASI000","40","0"
"50005","50023","190","100"
"50005","50017","12","54"
"50005","39","0","68"
"50005","12","146","50"
"50005","50013","2","40"
"50005","50011","0","39"
"50005","17","8","0"
"50005","55","23","0"
"50005","19","3","0"
"50005","18","0","11"
"50005","50007","121","147"
"50005","37","68","0"
"50005","36","39","83"
"50005","50019","251","66"
"50005","34","5","0"
"50005","33","175","142"
"50005","54","0","6"
"50011","51","15","0"
"50011","CAR000","1","0"
"50011","25","67","24"
"50011","26","0","48"
"50011","27","0","10"
"50011","21","94","20"
"50011","48","14","8"
"50011","23","6","165"
"50011","47","1","7"
"50011","42","0","15"
"50011","SAM000","7","0"
"50011","6","52","0"
"50011","9","106","0"
"50011","8","15","46"
"50011","50021","37","30"
"50011","50027","20","8"
"50011","50025","0","2"
"50011","50017","0","16"
"50011","EUR000","29","0"
"50011","50015","16","162"
"50011","50023","16","51"
"50011","11","0","9"
"50011","13","11","15"
"50011","12","29","83"
"50011","50013","140","41"
"50011","22","0","10"
"50011","33","56","30"
"50011","18","0","3"
"50011","31","10","0"
"50011","30","0","19"
"50011","37","6","291"
"50011","36","107","403"
"50011","50019","36","57"
"50011","55","0","39"
"50011","32","0","46"
"50007","50015","263","246"
"50007","56","55","13"
"50007","54","0","26"
"50007","51","193","268"
"50007","AFR000","128","0"
"50007","NAM000","75","0"
"50007","49","97","25"
"50007","CAR000","53","0"
"50007","50019","78","124"
"50007","53","21","127"
"50007","24","164","197"
"50007","25","1214","878"
"50007","26","140","0"
"50007","27","64","87"
"50007","21","201","61"
"50007","22","3","14"
"50007","23","256","205"
"50007","46","15","0"
"50007","47","12","26"
"50007","44","188","166"
"50007","45","46","36"
"50007","42","367","224"
"50007","29","25","28"
"50007","40","0","58"
"50007","41","2","199"
"50007","SAM000","30","0"
"50007","2","17","56"
"50007","5","10","0"
"50007","4","17","73"
"50007","6","319","229"
"50007","9","682","220"
"50007","8","90","136"
"50007","50021","138","91"
"50007","50027","219","123"
"50007","50025","123","67"
"50007","50017","177","52"
"50007","OCE000","85","0"
"50007","EUR000","318","0"
"50007","CAM000","48","0"
"50007","39","209","45"
"50007","38","0","192"
"50007","ASI000","339","0"
"50007","50009","30","9"
"50007","50023","400","352"
"50007","50013","194","145"
"50007","11","19","66"
"50007","13","39","64"
"50007","12","311","450"
"50007","15","40","83"
"50007","48","136","21"
"50007","17","84","276"
"50007","16","12","0"
"50007","19","39","4"
"50007","18","40","91"
"50007","31","1","75"
"50007","30","68","18"
"50007","37","149","189"
"50007","36","1292","915"
"50007","35","31","16"
"50007","34","426","100"
"50007","33","606","245"
"50007","55","23","71"
"50007","32","4","0"
"50007","50011","612","379"
"50009","24","3","0"
"50009","25","12","0"
"50009","EUR000","14","0"
"50009","48","2","0"
"50009","23","0","18"
"50009","47","13","0"
"50009","1","2","0"
"50009","6","11","33"
"50009","9","1","0"
"50009","50027","7","2"
"50009","50025","6","2"
"50009","50017","11","14"
"50009","11","3","0"
"50009","12","13","72"
"50009","50011","19","0"
"50009","19","0","12"
"50009","37","8","0"
"50009","36","13","0"
"50009","50019","42","3"
"50009","34","7","0"
"50009","SAM000","4","0"
"50009","33","154","103"
"50019","51","17","0"
"50019","AFR000","8","0"
"50019","53","8","0"
"50019","24","24","0"
"50019","25","62","56"
"50019","27","3","0"
"50019","20","0","15"
"50019","21","14","7"
"50019","48","31","0"
"50019","23","62","0"
"50019","47","0","9"
"50019","44","5","0"
"50019","42","10","0"
"50019","29","11","0"
"50019","41","2","12"
"50019","2","0","2"
"50019","4","3","9"
"50019","6","62","0"
"50019","9","19","0"
"50019","8","6","11"
"50019","50021","24","67"
"50019","50027","85","19"
"50019","50025","24","0"
"50019","CAM000","9","0"
"50019","39","4","0"
"50019","ASI000","27","0"
"50019","50023","61","22"
"50019","11","4","0"
"50019","10","8","0"
"50019","13","6","0"
"50019","12","13","66"
"50019","15","2","0"
"50019","33","78","53"
"50019","32","3","0"
"50019","56","7","17"
"50019","37","18","0"
"50019","36","63","81"
"50019","35","2","0"
"50019","34","28","0"
"50019","55","3","0"
"50023","51","39","14"
"50023","ISL000","5","0"
"50023","NAM000","3","0"
"50023","53","41","0"
"50023","24","84","67"
"50023","25","225","204"
"50023","26","10","0"
"50023","27","0","25"
"50023","21","0","3"
"50023","22","8","0"
"50023","23","71","55"
"50023","46","0","55"
"50023","47","9","13"
"50023","44","24","0"
"50023","45","37","36"
"50023","42","38","111"
"50023","29","8","41"
"50023","41","39","17"
"50023","1","1","0"
"50023","SAM000","39","0"
"50023","2","38","2"
"50023","6","73","46"
"50023","9","168","46"
"50023","8","69","34"
"50023","50027","84","53"
"50023","50025","41","18"
"50023","OCE000","6","0"
"50023","EUR000","37","0"
"50023","39","9","8"
"50023","38","10","0"
"50023","ASI000","23","0"
"50023","AFR000","13","0"
"50023","11","10","0"
"50023","13","128","44"
"50023","12","20","45"
"50023","15","23","0"
"50023","48","38","9"
"50023","17","4","0"
"50023","33","206","164"
"50023","32","3","0"
"50023","31","0","27"
"50023","30","18","3"
"50023","37","20","150"
"50023","36","257","130"
"50023","35","33","0"
"50023","34","32","10"
"50023","55","33","57"
"50021","54","0","75"
"50021","51","16","0"
"50021","NAM000","5","0"
"50021","49","16","0"
"50021","53","11","18"
"50021","24","37","11"
"50021","25","262","82"
"50021","26","5","0"
"50021","EUR000","22","0"
"50021","21","14","14"
"50021","22","79","0"
"50021","23","24","65"
"50021","46","0","5"
"50021","47","26","10"
"50021","44","34","0"
"50021","45","8","11"
"50021","42","52","8"
"50021","40","3","0"
"50021","41","0","8"
"50021","1","15","12"
"50021","2","0","3"
"50021","4","30","73"
"50021","6","84","87"
"50021","9","164","75"
"50021","8","156","113"
"50021","50027","125","222"
"50021","50025","57","30"
"50021","OCE000","3","0"
"50021","39","10","11"
"50021","38","0","2"
"50021","72","4","0"
"50021","50023","170","48"
"50021","11","16","12"
"50021","13","0","27"
"50021","12","64","183"
"50021","15","3","0"
"50021","48","13","46"
"50021","17","5","0"
"50021","55","4","0"
"50021","19","24","66"
"50021","18","18","82"
"50021","31","43","0"
"50021","30","0","14"
"50021","37","41","100"
"50021","36","404","536"
"50021","35","5","0"
"50021","34","80","40"
"50021","33","70","69"
"50021","32","12","48"
"50021","ASI000","85","0"
"50027","56","8","0"
"50027","51","35","52"
"50027","NAM000","26","0"
"50027","49","22","16"
"50027","CAR000","7","0"
"50027","53","28","3"
"50027","24","5","35"
"50027","25","250","381"
"50027","26","5","9"
"50027","27","42","0"
"50027","21","44","24"
"50027","22","0","12"
"50027","23","81","97"
"50027","46","0","14"
"50027","47","27","17"
"50027","44","0","43"
"50027","45","0","6"
"50027","42","36","21"
"50027","41","3","0"
"50027","1","3","0"
"50027","2","5","0"
"50027","4","49","61"
"50027","6","63","70"
"50027","9","58","157"
"50027","8","75","90"
"50027","EUR000","80","0"
"50027","39","23","69"
"50027","ASI000","28","0"
"50027","AFR000","27","0"
"50027","11","8","0"
"50027","13","0","78"
"50027","12","301","329"
"50027","15","11","0"
"50027","48","71","0"
"50027","17","36","41"
"50027","19","10","0"
"50027","18","29","0"
"50027","30","46","4"
"50027","37","0","32"
"50027","36","84","140"
"50027","35","0","23"
"50027","34","107","0"
"50027","33","933","550"
"50027","32","3","0"
"50025","56","12","2"
"50025","51","57","76"
"50025","NAM000","36","0"
"50025","49","0","25"
"50025","CAR000","8","0"
"50025","24","5","13"
"50025","25","321","192"
"50025","26","7","12"
"50025","27","12","34"
"50025","20","3","28"
"50025","21","0","24"
"50025","22","7","0"
"50025","23","25","15"
"50025","47","6","0"
"50025","44","15","0"
"50025","45","0","23"
"50025","42","18","0"
"50025","29","3","0"
"50025","41","11","28"
"50025","1","0","7"
"50025","2","1","17"
"50025","4","11","39"
"50025","6","48","19"
"50025","9","196","38"
"50025","8","9","55"
"50025","50027","110","235"
"50025","EUR000","14","0"
"50025","CAM000","3","0"
"50025","39","74","44"
"50025","ASI000","39","0"
"50025","AFR000","92","0"
"50025","11","0","13"
"50025","10","23","0"
"50025","13","1","0"
"50025","12","27","251"
"50025","15","55","0"
"50025","48","14","56"
"50025","17","54","8"
"50025","33","343","453"
"50025","18","0","45"
"50025","30","0","10"
"50025","37","37","19"
"50025","36","334","86"
"50025","53","19","38"
"50025","34","31","17"
"50025","55","5","0"
"50025","54","0","4"
