"placeA_FIPS","placeB_FIPS","BtoA","AtoB"
"47041","47167","0","2"
"47041","47165","0","34"
"47041","47163","0","1"
"47041","47161","0","4"
"47041","47047","0","6"
"47041","47185","28","115"
"47041","47187","1","0"
"47041","47183","23","2"
"47041","47123","7","0"
"47041","47141","129","24"
"47041","47189","44","8"
"47041","47129","0","9"
"47041","47145","2","0"
"47041","47147","0","9"
"47041","CAM000","2","0"
"47041","21","0","18"
"47041","22","0","5"
"47041","29","11","0"
"47041","1","5","1"
"47041","9","10","0"
"47041","47175","0","17"
"47041","47177","105","73"
"47041","47093","102","0"
"47041","47179","1","0"
"47041","39","0","14"
"47041","47059","8","0"
"47041","47159","45","180"
"47041","ASI000","37","0"
"47041","47111","0","11"
"47041","47073","0","5"
"47041","47157","15","0"
"47041","47133","0","64"
"47041","47149","137","89"
"47041","13","29","0"
"47041","12","44","13"
"47041","48","12","16"
"47041","17","91","0"
"47041","18","33","0"
"47041","37","0","17"
"47041","36","9","0"
"47041","47089","1","0"
"47043","47165","1","28"
"47043","47189","33","48"
"47043","47045","1","0"
"47043","47161","30","5"
"47043","47047","44","20"
"47043","47185","1","0"
"47043","28","96","13"
"47043","47187","53","102"
"47043","47183","14","21"
"47043","47105","9","0"
"47043","47069","10","7"
"47043","47101","11","25"
"47043","47125","184","57"
"47043","47141","0","9"
"47043","47143","2","0"
"47043","47147","15","0"
"47043","47065","0","18"
"47043","26","0","2"
"47043","27","0","6"
"47043","21","145","152"
"47043","48","97","273"
"47043","49","0","7"
"47043","42","32","0"
"47043","29","0","21"
"47043","40","3","104"
"47043","1","12","7"
"47043","2","0","17"
"47043","5","48","20"
"47043","6","68","20"
"47043","8","71","5"
"47043","47155","11","0"
"47043","47057","1","0"
"47043","47099","0","74"
"47043","47053","0","10"
"47043","47093","0","13"
"47043","47179","8","0"
"47043","47091","0","13"
"47043","39","1","37"
"47043","47095","12","0"
"47043","47079","14","0"
"47043","47159","0","33"
"47043","47113","0","12"
"47043","47135","0","35"
"47043","47157","8","23"
"47043","47077","15","0"
"47043","47119","35","0"
"47043","11","0","5"
"47043","47149","21","55"
"47043","13","0","32"
"47043","12","97","304"
"47043","EUR000","2","0"
"47043","16","132","0"
"47043","19","21","0"
"47043","18","2","0"
"47043","31","31","0"
"47043","51","0","4"
"47043","53","16","0"
"47043","47085","70","49"
"47043","47081","188","578"
"47043","47083","29","144"
"47043","47089","17","0"
"47043","ASI000","22","0"
"47045","47167","2","5"
"47045","47165","18","0"
"47045","47163","0","1"
"47045","47161","29","0"
"47045","47047","0","3"
"47045","42","3","0"
"47045","47181","0","13"
"47045","AFR000","17","0"
"47045","47183","45","74"
"47045","47105","9","0"
"47045","47069","2","0"
"47045","47125","6","0"
"47045","47189","26","8"
