destination,1,2,4,5,6,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49,50,51,53,54,55,56,72
24,1918,1589,1515,203,8255,2081,1118,3445,20845,7820,6161,813,175,2721,1688,590,1378,898,653,479,0,2388,935,953,810,762,0,111,280,108,8317,309,13454,8287,0,2596,495,589,12752,210,1737,359,1215,5385,1836,416,24308,2223,4653,1379,313,1057
25,409,1634,2507,287,11587,2176,10718,44,845,10470,3316,548,335,2747,293,433,373,1299,310,4929,4761,0,1311,739,475,498,0,16,601,12184,5991,459,16555,4112,69,2863,171,712,4759,7964,712,35,800,2884,402,2881,5964,940,222,718,92,2005
26,2517,4783,3372,2628,10087,2508,1202,75,769,13416,7187,401,339,13669,12309,1314,1410,1985,795,109,1727,2349,0,1860,396,1578,171,726,1591,339,1608,1549,4727,3157,1085,9599,578,326,4154,574,3231,314,4529,7139,708,268,2106,1057,319,5297,154,891
27,493,1564,3389,952,5557,2467,425,203,187,2734,2958,787,387,7601,796,8059,861,166,392,109,993,707,1678,0,191,1355,693,1092,1141,0,951,811,2979,1711,10312,2164,642,1687,1148,156,786,2757,631,6343,1166,198,1512,2476,596,17649,213,922
28,7077,401,1129,1700,3074,448,190,156,0,2551,3732,178,469,3739,604,51,218,520,8391,134,348,308,2083,217,0,839,105,304,429,40,139,285,302,1008,0,1466,1182,178,922,32,1841,60,11928,8157,28,0,1116,98,126,285,0,79
29,1004,438,3763,8024,6832,4218,723,0,833,5924,3322,638,768,24343,3641,4160,22434,3126,2047,517,2321,1364,1967,2504,759,0,764,3529,1377,300,1572,1726,2968,5303,288,2777,7092,970,3297,288,1759,742,2465,9905,217,0,1326,2443,756,2343,59,262
30,21,2017,914,71,4228,2054,0,0,12,321,327,87,2804,890,121,0,305,181,477,20,154,188,397,931,25,345,0,212,771,386,131,564,421,1217,2494,331,486,2795,789,0,147,370,31,2082,1797,318,501,5390,50,875,987,0
31,294,440,1585,348,4136,4670,164,13,49,1223,985,356,288,1381,151,7552,2677,557,277,0,589,269,915,772,71,2070,482,0,448,67,211,461,372,357,378,454,1089,152,175,0,405,2839,59,3003,1083,0,605,498,36,352,496,418
32,491,1466,3921,1636,47897,2484,763,77,86,5800,570,5416,5194,3322,667,439,282,1547,0,136,1599,1012,1085,406,336,696,1098,1112,0,360,502,2340,3343,761,236,1722,446,1776,1833,0,1095,710,976,5212,6727,0,1881,4469,66,1703,887,740
33,123,598,360,1084,1642,346,1718,0,91,1396,513,23,0,753,320,44,637,109,882,3078,1355,17285,212,36,0,8,285,74,148,0,803,27,1877,666,0,413,51,245,489,1468,140,0,321,902,27,2417,501,513,550,337,0,209
